index,Title,DOI
28,Adaptive Semantic Matching in a Multilingual Context,10.1142/s1793351x23500034
54,Knowledge Graph-Driven Neuro-Symbolic System for Intelligent Document Matching,
82,Towards Pattern-based Complex Ontology Matching using SPARQL and LLM,
132,Multi-modal entity alignment based on joint knowledge representation learning; 基于联合知识表示学习的多模态实体对齐,10.13195/j.kzyjc.2019.0331
137,Iterative Fusion Method Based on Heterogeneous Graph Neural Network for Entity Alignment,10.1109/ijcnn54540.2023.10191734
199,"Using Wikidata’s Ontology in Practice: A Neuro Symbolic, Community Centred Workflow for Integrating and Reusing Humanities Datasets",10.5334/johd.439
201,Database Schema Matching Model Based on Multimodal Fusion Analysis,10.1109/acie64499.2025.00012
210,Human-Friendly Explanation for Ontology-based Concept Similarity: Design and Development,
216,Creating Embeddings of Heterogeneous Relational Datasets for Data Integration Tasks,10.1145/3318464.3389742
218,In Situ Neural Relational Schema Matcher,10.1109/icde60146.2024.00018
225,Entity Alignment of Knowledge Graph by Joint Graph Attention and Translation Representation,10.1007/978-3-030-87571-8_30
231,Entity alignment method for different knowledge repositories with joint semantic representation,10.11925/infotech.2096-3467.2021.0143
246,Automated Data Harmonization (ADH) using Artificial Intelligence (AI),10.1007/s12597-020-00467-4
262,Impact of Agricultural Ontologies Evolution on the Alignment Preservative Adaptation,10.7160/aol.2024.160302
267,Ontology Alignment Method Based on Self-attention; 基于自注意力模型的本体对齐方法,10.11896/jsjkx.210700190
268,Entity Alignment Through Joint Utilization of Multiple Pretrained Models for Attribution Relationship,10.1109/cscloud62866.2024.00008
274,Towards a Benchmark Dataset for the Digital Humanities,
276,BioLinkerAI: Leveraging LLMs to Improve Biomedical Entity Linking and Knowledge Capture,10.1145/3701551.3708812
278,ADnEV: Cross-domain schema matching using deep similarity matrix adjustment and evaluation,10.14778/3397230.3397237
279,Pruning Cycles in UMLS Metathesaurus: A Neuro Symbolic AI Approach,
280,VerbaNex at TalentCLEF2025: Semantic Matching of Multilingual Job Titles through a Framework Integrating ESCO Taxonomy,
292,"Semantic-web–Enhanced Hybrid Learning for Career Planning: Ontology-driven Matching, Sequence Forecasting, and Closed-loop Optimization",10.13052/jicts2245-800x.1334
298,Joint Multilingual Knowledge Graph Completion and Alignment,10.18653/v1/2022.findings-emnlp.443
318,Corpus Fusion and Text Summarization Extraction for Multi-Feature Enhanced Entity Alignment,10.1145/3744558
319,Joint Entity Summary and Attribute Embeddings for Entity Alignment Between Knowledge Graphs,10.1007/978-3-030-61705-9_10
321,A natural language processing approach to support biomedical data harmonization: Leveraging large language models,10.1371/journal.pone.0328262
334,BioLinkerAI: Capturing Knowledge Using LLMs to Enhance Biomedical Entity Linking,10.1007/978-981-96-0573-6_19
335,Explicit Link Discovery Scheme Optimized with Ontology Mapping using Improved Machine Learning Approach,10.24846/v30i1y202106
339,Joint Triple Embedding for Entity Alignment; 联合三元组嵌入的实体对齐,10.3778/j.issn.1002-8331.2302-0087
364,Heterogeneous Embeddings for Relational Data Integration Tasks,10.1007/978-3-030-87571-8_59
368,Semantic search helper: A tool based on the use of embeddings in multi-item questionnaires as a harmonization opportunity for merging large datasets - A feasibility study,10.1192/j.eurpsy.2024.1808
369,Self-supervised Entity Alignment Model Based on Joint Embedding,10.1088/1742-6596/2829/1/012020
370,Research on Chinese-Korean Entity Alignment Method Combining TransH and GAT,10.1007/978-981-16-6471-7_10
384,Enhanced Ontology Matching for Big Data Integration,10.1088/1742-6596/1447/1/012028
390,A Scalable Method for Large-scale Entity Alignment via Multi-Channel Retrieval and Fusion,
394,Microplastics and Trash Cleaning and Harmonization (MaTCH): Semantic Data Ingestion and Harmonization Using Artificial Intelligence,10.1021/acs.est.4c02406
399,Entity Alignment Model Based on Multi-Hop Information Fusion,10.19678/j.issn.1000-3428.0068946
407,Using combinatorial optimization to solve entity alignment: An efficient unsupervised model,10.1016/j.neucom.2023.126802
412,A Novel Entity and Relation Joint Interaction Learning Approach for Entity Alignment,10.1142/s0218194024500049
420,A hybrid data harmonization workflow using word embeddings for the interlinking of heterogeneous cross-domain clinical data structures,10.1109/bhi50953.2021.9508484
450,MEAformer: Multi-modal Entity Alignment Transformer for Meta Modality Hybrid,10.1145/3581783.3611786
452,An Entity Alignment Method Integrating Dual Entity Classification and Graph Attention Networks in Power Domain,10.1109/powercon58120.2023.10331189
472,Embedding-Based Data Matching for Disparate Data Sources,10.1007/978-3-031-68323-7_5
478,Web Open Data to SDG Indicators: Towards an LLM-Augmented Knowledge Graph Solution,10.1007/978-981-96-1483-7_7
494,Deep graph convolutional network for US birth data harmonization,10.1016/j.jbi.2021.103974
511,MultiJAF: Multi-modal joint entity alignment framework for multi-modal knowledge graph,10.1016/j.neucom.2022.05.058
521,JTEA: Implementing Semi-Supervised Entity Alignment Using Joint Teaching Strategies,10.1109/smc54092.2024.10831515
530,Collective Entity Alignment for Knowledge Fusion of Power Grid Dispatching Knowledge Graphs,10.1109/jas.2022.105947
536,Domain Vocabulary Alignment using AML and LogMap; Alinhamento de Vocabulário de domínio utilizando os sistemas AML e LogMap,10.20396/rdbci.v20i00.8668437
552,Data Pattern Matching Method Based on BERT and Attention Mechanism,10.1109/nmitcon62075.2024.10699209
572,Distribution- ased Similarity Measures Applied to Laboratory Results Matching,10.3233/shti210823
601,Combining BERT Model with Semi-Supervised Incremental Learning for Heterogeneous Knowledge Fusion of High-Speed Railway On-Board System,10.1155/2022/9948218
608,KG-ZESHEL: Knowledge Graph-Enhanced Zero-Shot Entity Linking,10.1145/3460210.3493549
615,Towards the smart use of embedding and instance features for property matching,10.1109/icde51399.2021.00209
622,Multi-Modal Entity Alignment Based on Enhanced Relationship Learning and Multi-Layer Feature Fusion,10.3390/sym17070990
