etape,n
brut_scopus,1219
intra_dedup_scopus,1159
brut_ieee,594
intra_dedup_ieee,555
brut_acm,268
intra_dedup_acm,263
brut_arxiv,189
intra_dedup_arxiv,187
corpus_avant_inter,2164
corpus_apres_inter,1890
corpus_final,1888
database_Scopus,894
database_IEEE,360
database_Scopus+IEEE,190
database_ACM,190
database_ArXiv,177
database_Scopus+ACM,65
database_Scopus+ArXiv,5
database_Scopus+IEEE+ACM,3
database_ACM+ArXiv,3
database_Scopus+IEEE+ArXiv,1
database_Scopus+ACM+ArXiv,1
database_IEEE+ACM,1
query_R2B,713
query_R1,541
query_R2A,356
query_R3,188
query_R1+R3,42
query_R2A+R2B,34
query_R1+R2B,9
query_R2B+R3,5
query_R2A+R3,1
query_R1+R2B+R3,1
tri1_screened,1888
tri1_include,105
tri1_exclude,1748
tri1_survey,35
fulltext_assessed,105
fulltext_exclu_total,24
fulltext_exclu_E1,12
fulltext_exclu_I4,10
fulltext_exclu_E1_E3,1
fulltext_exclu_E6,1
tri2_total_articles,81
tri2_qa_evalues,81
tri2_qa_pass,54
tri2_qa_fail,27
tri2_qa_fail_score,20
tri2_qa_fail_I4,7
tri2_en_attente,0
extraction_finale,54
