"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A Review of Methods Using Large Language Models in News Recommendation Systems","X. Li; S. Feng; X. Zhang","School of Computer and Cyber Sciences Communication, University of China, Beijing, China; School of Computer and Cyber Sciences Communication, University of China, Beijing, China; School of Computer and Cyber Sciences Communication, University of China, Beijing, China","2024 IEEE/ACIS 27th International Conference on Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing (SNPD)","17 Sep 2024","2024","","","81","86","Large Language Models (LLMs) are widely used in natural language processing tasks due to their powerful semantic understanding and knowledge integration capabilities. Numerous existing recommendation studies consider recommendation tasks as a type of natural language processing, and thus LLMs have consequently brought new changes to the recommendation system paradigm. Existing research on recommendations using LLMs partly utilizes their rich data information, fine-grained user profiling, and expanded recommendation content to improve recommendation effectiveness. Additionally, some and partly studies directly uses LLMs to implement a generative recommendation paradigm. This paper adopts the literature review method to systematically sort out the current research status of news recommendation based on LLMs and classifies and summarizes the relevant research. To comprehensively understand the research in the field of news recommendation using LLMs, this paper introduces the current major work in the field of news recommendation from the two categories of generative LLM-assisted recommendation and direct generative recommendation and summarizes the current work as well as the potential future research directions and challenges.","2693-8421","979-8-3503-9195-4","10.1109/SNPD61259.2024.10673956","Beijing Social Science Fund; Communication University of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10673956","News Recommendation;Large Language Models;Generative News Recommendation","Technological innovation;Accuracy;Reviews;Large language models;Semantics;Natural language processing;User experience","","2","","39","IEEE","17 Sep 2024","5-7 July 2024","5-7 July 2024","IEEE","IEEE Conferences"
"Adapting Large Language Models by Integrating Collaborative Semantics for Recommendation","B. Zheng; Y. Hou; H. Lu; Y. Chen; W. X. Zhao; M. Chen; J. -R. Wen","Gaoling School of Artificial Intelligence, Renmin University of China, Beijing, China; University of California San Diego, La Jolla, United States; WeChat, Tencent, Guangzhou, China; WeChat, Tencent, Guangzhou, China; Gaoling School of Artificial Intelligence, Renmin University of China, Beijing, China; WeChat, Tencent, Guangzhou, China; Gaoling School of Artificial Intelligence, Renmin University of China, Beijing, China",2024 IEEE 40th International Conference on Data Engineering (ICDE),"23 Jul 2024","2024","","","1435","1448","Recently, large language models (LLMs) have shown great potential in recommender systems, either improving existing recommendation models or serving as the backbone. However, there exists a large semantic gap between LLMs and recommender systems, since items to be recommended are often indexed by discrete identifiers (item ID) out of the LLM's vocabulary. In essence, LLMs capture language semantics while recommender systems imply collaborative semantics, making it difficult to sufficiently leverage the model capacity of LLMs for recommendation. To address this challenge, in this paper, we propose a new LLM-based recommendation model called LC-Rec, which can better integrate language and collaborative semantics for recommender systems. Our approach can directly generate items from the entire item set for recommendation, without relying on candidate items. Specifically, we make two major contributions in our approach. For item indexing, we design a learning-based vector quantization method with uniform semantic mapping, which can assign meaningful and non-conflicting IDs (called item indices) for items. For alignment tuning, we propose a series of specially designed tuning tasks to enhance the integration of collaborative semantics in LLMs. Our fine-tuning tasks enforce LLMs to deeply integrate language and collaborative semantics (characterized by the learned item indices), so as to achieve an effective adaptation to recommender systems. Extensive experiments demonstrate the effectiveness of our method, showing that our approach can outperform a number of competitive baselines including traditional recommenders and existing LLM-based recommenders. Our code is available at https://github.com/RUCAIBox/LC-Rec/.","2375-026X","979-8-3503-1715-2","10.1109/ICDE60146.2024.00118","National Natural Science Foundation of China(grant numbers:62222215); Beijing Natural Science Foundation(grant numbers:4222027); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10597986","Large Language Model;Semantic Integration;Sequential Recommendation","Adaptation models;Vocabulary;Vector quantization;Large language models;Semantics;Collaboration;Task analysis","","44","","64","IEEE","23 Jul 2024","13-16 May 2024","13-16 May 2024","IEEE","IEEE Conferences"
"Mapping Study Variables to Common Data Elements Using GPT for Sheets: Towards Standardized Data Collection and Sharing","P. Ram; N. Hong; H. Xu; X. Jiang","Section of Biomedical Informatics and Data Science, School of Medicine, Yale University, New Haven, CT, USA; Section of Biomedical Informatics and Data Science, School of Medicine, Yale University, New Haven, CT, USA; Section of Biomedical Informatics and Data Science, School of Medicine, Yale University, New Haven, CT, USA; McWilliams School of Biomedical Informatics, The University of Texas Health Science Center at Houston, Houston, TX, USA",2024 IEEE 12th International Conference on Healthcare Informatics (ICHI),"22 Aug 2024","2024","","","320","325","Secondary use or reuse of biomedical research data has drawn significant attention and is of growing importance. Non-standardized representation and wide variability of clinical and observational data of biomedical research pose a major challenge to data collection, integration, analysis, and sharing. To address this requirement, we present experiences of using GPT for Sheets as a tool to map study-level biomedical research variables or data elements to Common Data Elements (CDEs). In this study, the trial variables were extracted from the data dictionaries in the RADx-rad program, and the NIH Pediatric COVID-19 Working Group recommended CDEs that include children (0 – 21 years) were used as the reference CDEs. Mapping experimental variables (vague data elements) to CDEs resulted in an Fl-score of 0.82 when considering only the first recommendation and 0.85 when considering either the first or second recommendation. Our results indicate that GPT language models can differentiate freely defined study variables and map them to standard CDEs. This, in turn, potentially further enhances interoperability with a wider range of biomedical studies.","2575-2634","979-8-3503-8373-7","10.1109/ICHI61247.2024.00048","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10628561","Common Data Elements;GPT for Sheets;Data Collection;Data Sharing;Data Harmonization","Pediatrics;Dictionaries;Biological system modeling;Medical services;Data collection;Data models;Informatics","","1","","18","IEEE","22 Aug 2024","3-6 June 2024","3-6 June 2024","IEEE","IEEE Conferences"
"Construction of Intelligent Educational Teaching Evaluation System Based on Knowledge Graph and Natural Language Processing","L. Lin","Shandong Vocational College of Science and Technology, Weifang, China","2024 IEEE 2nd International Conference on Sensors, Electronics and Computer Engineering (ICSECE)","29 Oct 2024","2024","","","956","960","This project constructs a subject knowledge map for instructional design based on natural language processing technology. This provides a new way of thinking and method for the teaching practice of this subject. Firstly, the ontology-oriented dictionary learning method is studied. By using the fusion ontology relation extraction method, the subject-action-semantic association is extracted to enrich the category of association. Ontology alignment technique is used to disambiguate the extracted knowledge base. Using “Neo4j” as the development tool, the knowledge map of course design theme is displayed visually. It is found that presenting the image of information and knowledge in the subject teaching is an operable technological support. The system further expands the applied research field. Knowledge graph and other visual tools will be used in more education fields in the future to achieve specific visual education based on the corresponding experience and lessons.","","979-8-3503-7364-6","10.1109/ICSECE61636.2024.10729380","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10729380","Knowledge graph;teaching design;natural language processing;teaching evaluation system;intelligent system","Knowledge engineering;Visualization;Education;Knowledge based systems;Knowledge graphs;Machine learning;Ontologies;Natural language processing;Sensor systems;Sensors","","","","9","IEEE","29 Oct 2024","29-31 Aug. 2024","29-31 Aug. 2024","IEEE","IEEE Conferences"
"Few-Shot Ontology Alignment Model with Attribute Attentions","J. Sun; S. Takeuchi; I. Yamasaki","NTT Software Innovation Center, NTT Corporation, Tokyo, Japan; NTT Software Innovation Center, NTT Corporation, Tokyo, Japan; NTT Software Innovation Center NTT Corporations, Tokyo, Japan","2020 IEEE 44th Annual Computers, Software, and Applications Conference (COMPSAC)","22 Sep 2020","2020","","","1218","1222","Nowadays, explosive growth of ontologies are used for managing data in various domains. They usually own different vocabularies and structures following different fashions. Ontology alignment finding semantic correspondences between elements of these ontologies can effectively facilitate the data communication and novel application creation in many practical scenarios. However, we noticed that, the traditional parametric ontology mapping methods still depend on individualistic abilities for setting proper parameters for mapping. When trying to utilize artificial neural networks for the automatic ontology mapping, the training data are found insufficient in most of the cases. This paper analyzes these problems, and proposes a few-shot ontology alignment model, which can automatically learn how to map two ontologies from only a few training links between their element pairs. The proposed model applies the Siamese neural network in computer vision on ontology alignment and designs an attention detection network learning the attention weights for different ontology attributes. A few experiments that conducted on the anatomy ontology alignment show that our model achieves good performance (94.3% of F-measure) with 200 training alignments without traditional parametric setting.","0730-3157","978-1-7281-7303-0","10.1109/COMPSAC48688.2020.00-90","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9202824","Ontology Alignment, Ontology Matching, Siamese neural network, Machine learning","Ontologies;Training;Neural networks;Training data;Computational modeling;Data models;Software","","2","","14","IEEE","22 Sep 2020","13-17 July 2020","13-17 July 2020","IEEE","IEEE Conferences"
"Leveraging Multi-Agent Systems and Large Language Models for Diabetes Knowledge Graphs","D. H. Ho; U. Das; R. Ho; Y. Lee","Computer Science, California State University Fullerton, Fullerton, USA; Computer Science, University of Missouri-Kansas City, Kansas City, USA; Computer Science, University of Missouri-Kansas City, Kansas City, USA; Computer Science, University of Missouri-Kansas City, Kansas City, USA",2024 IEEE International Conference on Big Data (BigData),"16 Jan 2025","2024","","","3401","3410","This paper presents a novel framework for constructing a diabetes-specific knowledge graph (KG) using a streamlined multi-agent system powered by Gemini-based Large Language Models (LLMs). Leveraging insights from the 2016 National Diabetes Survey (NNDS) conducted by the National Diabetes Education Program (NDEP), the framework extracts critical variables related to diagnosis, risk perception, medical advice, and self-management practices across diverse U.S. populations. By processing data from the NNDS’s extensive 94-question survey, the methodology performs adaptive ontology mapping using APIs for six major medical standards (e.g., SNOMED CT, ICD-11), ensuring semantic interoperability. Relationships between variables are identified and structured using RDF, RDFS, and OWL standards. The integration of LLMs with ontology tools like Protégé enhances automation and scalability. Results demonstrate the framework’s effectiveness in generating contextually rich and clinically relevant knowledge graphs, providing a robust foundation for advancing healthcare informatics and personalized diabetes management.","2573-2978","979-8-3503-6248-0","10.1109/BigData62323.2024.10825608","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10825608","Knowledge Graph;Multi-Agent System;Large Language Models;Diabetes;Ontology Mapping;RDF;OWL;Healthcare Informatics;AI","Surveys;Scalability;Knowledge graphs;Medical services;Ontologies;Resource description framework;Diabetes;Standards;Medical diagnostic imaging;Multi-agent systems","","1","","15","IEEE","16 Jan 2025","15-18 Dec. 2024","15-18 Dec. 2024","IEEE","IEEE Conferences"
"Benchmarking Large Language Models for Biomedical Literature Summarization: Abstractive Versus Extractive Paradigms","T. Celikten; A. Onan","Department of Computer Engineering, İzmir Kâtip Çelebi University, İzmir, Türkiye; Department of Computer Engineering, İzmir Kâtip Çelebi University, İzmir, Türkiye",IEEE Access,"5 Sep 2025","2025","13","","152682","152715","Summarizing biomedical literature has become an important tool for researchers and healthcare professionals by increasing the speed of access to information. In this context, abstractive and extractive summarization methods are the main techniques used to make texts concise without distorting their meaning. While abstractive summarization restructures the text to create more meaningful and contextually consistent summaries, extractive summarization summarizes by directly quoting from the source text. Analyses conducted with a dataset created using scientific articles written in different biomedical fields analyzed how accurately and consistently the models could summarize biomedical texts through the metrics used (SBERT, BLEU, ROUGE, etc.). In the evaluations, while abstractive summarization methods generally provide higher semantic consistency, extractive summarization offers higher word-matching accuracy. While abstractive summarization exhibits superior performance in metrics such as SBERT and preserves semantic integrity better, extractive summarization achieves higher results in metrics such as BLEU and ROUGE. In addition, it has been found that large models are generally more successful in extractive summarization, while medium-sized models show balanced performance in both methods. In the future, with the increasing use of LLMs in the biomedical field, it will be possible to make more accurate, faster, and more meaningful summaries. In addition, the integrated use of summarization methods can make biomedical information systems more efficient. Future studies can focus on making LLMs more effective with wider datasets and contextual suitability.","2169-3536","","10.1109/ACCESS.2025.3604351","Scientific Research Projects Coordination Unit of İzmir Kâtip Çelebi University(grant numbers:2025-TDR-FEBE-0001); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11144763","Extractive summarization;abstractive summarization;medical text summarization;large language models","Text summarization;Biological system modeling;Measurement;Large language models;Accuracy;Transformers;Benchmark testing;Training;Semantics;Medical services","","","","75","CCBY","29 Aug 2025","2025","","IEEE","IEEE Journals"
"LEAF: Logic-Enhanced Adaptive Fusion for Large-Scale Ontology Alignment","X. Zhu; B. Liu; J. Li; X. Zhuang","Strategic Assessments and Consultation Institute, AMS, Beijing, China; Strategic Assessments and Consultation Institute, AMS, Beijing, China; Strategic Assessments and Consultation Institute, AMS, Beijing, China; School of Systems Science and Engineering, Sun Yat-Sen University, Guangzhou, China",2025 IEEE Cyber Science and Technology Congress (CyberSciTech),"14 Jan 2026","2025","","","385","392","Ontology alignment for large-scale, complex ontologies is a foundational yet challenging task, critical for data integration across diverse systems. Prevailing methods often struggle with balancing candidate generation quality and efficiency, effectively fusing heterogeneous information sources—a key challenge in indicator system fusion—and adapting to model-specific strengths. In addition, many deep learning approaches lack necessary interpretability, which limits their practical deployment in high-stakes domains. To address these challenges, we propose LEAF (Logic-Enhanced Adaptive Fusion), a novel, iterative alignment framework. LEAF introduces three core innovations: (1) a Progressive Expansion Recall strategy to ensure a high-quality candidate pool; (2) an interpretable Complementary Heterogeneous Matcher architecture that integrates deep semantic patterns with features from a semantically-decoupled topology model and an LLM-based logical reasoner; and (3) a Two-Level Adaptive Fusion mechanism inspired by meta-learning to intelligently combine matcher outputs. Evaluated on the highly demanding OAEI Anatomy benchmark, LEAF achieves a highly competitive F1-score of 0.883, demonstrating a strong and well-balanced performance with a Precision of 0.905 and a Recall of 0.863. Our work presents a new, effective paradigm for ontology alignment that successfully combines the feature engineering power of LLMs with a robust, interpretable, and adaptive discriminative framework.","","979-8-3315-9096-3","10.1109/CyberSciTech68397.2025.00058","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11323286","ontology alignment;indicator system fusion;large language models;adaptive fusion;heterogeneous information fusion","Metalearning;Adaptation models;Technological innovation;Semantics;Ontologies;Predictive models;Robustness;Topology;Anatomy;Pattern matching","","","","29","IEEE","14 Jan 2026","21-24 Oct. 2025","21-24 Oct. 2025","IEEE","IEEE Conferences"
"Large Language Models for Semantic Join: A Comprehensive Survey","K. Hong; Y. Park","Ceres Technologies, Daegu, Republic of Korea; Department of Computer Science and Engineering, Kangwon National University, Chuncheon, Republic of Korea",IEEE Access,"31 Oct 2025","2025","13","","184478","184493","Semantic join, the operation of integrating information siloed across heterogeneous data sources, is critical for modern data science, yet traditional methods have long been hampered by the persistent challenges of deep semantic ambiguity, poor scalability, and prohibitive manual intervention. This survey posits that Large Language Models (LLMs) represent a promising new paradigm, offering the potential to overcome these long-standing hurdles. By replacing brittle rules and syntactic analysis with deep contextual understanding, LLMs leverage their core capabilities in contextual representation learning and in-context learning (ICL) to automate and significantly improve the accuracy of linking records based on their underlying conceptual relatedness. We provide a comprehensive and structured review of this burgeoning field, synthesizing the state-of-the-art from foundational methodologies—such as data textualization and bi/cross-encoder architectures—to advanced techniques including Retrieval-Augmented Generation (RAG), structured prompting for complex reasoning, and optimizations for scalability. Furthermore, we survey transformative applications across enterprise data management, knowledge graph (KG) construction, and scientific research. By consolidating current knowledge, structuring the landscape of techniques, and identifying key open questions, this survey aims to catalyze future research and guide the development of the next generation of more powerful, reliable, and responsible semantic data integration solutions.","2169-3536","","10.1109/ACCESS.2025.3625753","National Research Foundation of Korea(NRF) grant; Korea government(MSIT)(grant numbers:RS-2023-00242528); 2025 Research Grant from Kangwon National University; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11218142","Large language models;semantic join;data integration","Semantics;Surveys;Data integration;Joining processes;Syntactics;Scalability;Ontologies;Manuals;Large language models;Cognition","","","","117","CCBY","27 Oct 2025","2025","","IEEE","IEEE Journals"
"Application of Ontology Matching Algorithm in Linguistic Features","Y. Zhu","China University of Geosciences, Wuhan, Hubei, China","2020 IEEE International Conference on Power, Intelligent Computing and Systems (ICPICS)","22 Sep 2020","2020","","","906","909","To discuss the role of Ontology Matching Algorithm in linguistic features, the application fields of Ontology Matching Algorithm are introduced firstly. Then, the major Ontology Systems and typical Ontology Matching Frameworks are discussed so that the concept of Ontology Matching Algorithm is Clear. Thirdly, to further explore the importance of Ontology Matching Algorithm in linguistic, the Ontology Matching Algorithm based on semantic (Omabos) is Analysed. At last, the Ontology Matching Algorithm based on linguistic features (Omablf) is designed and verified. The results show that the presented Algorithm has good effects. However, any kind of Matching Algorithm always has its drawbacks and is difficult to do well in each aspect of matching. Therefore, in practical applications, Matching Systems are usually synthesized by a variety of different types of Matching Algorithms (element level or structure level), to achieve a good matching effect.","","978-1-7281-9874-3","10.1109/ICPICS50287.2020.9202191","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9202191","Ontology matching algorithm;Linguistic features;Framework","Ontologies;Semantics;Linguistics;Web services;Dictionaries;Semantic Web;Business","","3","","9","IEEE","22 Sep 2020","28-30 July 2020","28-30 July 2020","IEEE","IEEE Conferences"
