"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Ontology-Based Neuro-Symbolic AI: Effects on Prediction Quality and Explainability","A. Smirnov; A. Ponomarev; A. Agafonov","St. Petersburg Federal Research Center of the Russian Academy of Sciences (SPC RAS), Saint Petersburg, Russia; St. Petersburg Federal Research Center of the Russian Academy of Sciences (SPC RAS), Saint Petersburg, Russia; St. Petersburg Federal Research Center of the Russian Academy of Sciences (SPC RAS), Saint Petersburg, Russia",IEEE Access,"31 Oct 2024","2024","12","","156609","156626","Artificial intelligence (AI) systems, based on neural networks are becoming ubiquitous. However, in many cases, their application is constrained by the lack of interpretability. One of the ways of overcoming this limitation is neuro-symbolic approaches, where the neural network is complemented by some symbolic structures, expressing existing knowledge and making it understandable to humans. Such approaches can make predictions more understandable and interpretable (due to the connection to human-understandable symbolic structures). Still, they can also have an additional advantage by allowing models to be trained with less data (due to leveraging prior knowledge). This paper focuses on a subset of neuro-symbolic approaches, where domain ontologies play the role of symbolic structures. The paper discusses the existing methods to build ontology-aware explainable neural networks and ways to leverage ontologies in forming the explanation. Based on the analysis, it proposes a computational framework for building ontology-aware self-explaining neural networks. The proposed framework allows several specializations, and it is shown that these specializations allow one to improve the prediction quality. Finally, the paper presents the results of a user study, showcasing that ontology-based explanations can improve the understandability of an AI model and the efficiency of human-AI interaction.","2169-3536","","10.1109/ACCESS.2024.3485185","Russian Science Foundation(grant numbers:22-11-00214); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10731866","Deep learning;explainable AI;machine learning;neural networks;ontology;symbolic AI","Ontologies;Artificial intelligence;Neural networks;Biological neural networks;Neurons;Training;Predictive models;Collaboration;Symbols;Computational modeling;Deep learning;Explainable AI;Machine learning","","4","","61","CCBYNCND","23 Oct 2024","2024","","IEEE","IEEE Journals"
"Localization of Ontology Concepts in Deep Convolutional Neural Networks","A. Agafonov; A. Ponomarev","SPC RAS, St. Petersburg, Russian Federation; SPC RAS, St. Petersburg, Russian Federation","2022 IEEE International Multi-Conference on Engineering, Computer and Information Sciences (SIBIRCON)","23 Jan 2023","2022","","","160","165","With the proliferation of deep artificial neural networks, techniques allowing end users to understand why a network came to a certain conclusion are becoming increasingly important. The lack of such understanding is becoming a limiting factor in applying deep neural networks in critical tasks, where the price of error is high. Recently it has been shown that internal representations built by a deep neural network can sometimes be aligned with concepts of a domain ontology, related to the network target. This opens an opportunity of explaining the results of a deep neural network in human terms (defined in the ontology). The paper presents the results of several experiments aimed at understanding what layers of a neural network are most perspective for the alignment with given ontology concept (characterized by its relations with the network target). The experiments were performed with several datasets (XTRAINS, SCDB) and several network architectures (including custom convolutional neural network architecture, ResNet, MobileNetV2). For these dataset-neural architecture pairs we built ""concept localization maps"" showing how informative is the output of each layer for predicting that given sample corresponds to a certain concept. The results of the experiments show that the concepts that are ""closer"" to the target concept (definition-wise) are typically better expressed (or, localized) in the last layers. Besides, the concept expression typically follows a roughly unimodal shape. We believe that these results can be used for building effective algorithms for concept extraction and improve the ontology-based explanation techniques for deep neural networks.","","978-1-6654-6480-2","10.1109/SIBIRCON56155.2022.10016932","Russian Science Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10016932","explainable AI;XAI;neuro-symbolic intelligence;ontologies;neural networks","Deep learning;Location awareness;Shape;Neural networks;Ontologies;Network architecture;Data mining","","3","","12","IEEE","23 Jan 2023","11-13 Nov. 2022","11-13 Nov. 2022","IEEE","IEEE Conferences"
"Relation Aware Neural-Symbolic Models for Logical Queries on Knowledge Graphs","Z. Huang; G. An","Institute of Information Science, Beijing Beijing Key Laboratory of Advanced Information Science and Network Technology, Beijing Jiaotong University; Institute of Information Science, Beijing Beijing Key Laboratory of Advanced Information Science and Network Technology, Beijing Jiaotong University",2024 IEEE 17th International Conference on Signal Processing (ICSP),"23 Jan 2025","2024","","","229","233","Complex multi-hop logical queries are a highly regarded problem in the field of knowledge graphs. The challenge lies in whether the query model can effectively rely on observed entities and edges to handle incomplete knowledge graphs in the real world. This requires the model to be able to correctly retrieve answers even when encountering unobserved intermediate entities or relations while processing complex logical queries involving missing information. In this paper, we propose a neural-symbolic integration approach to address the first-order logical query problem on knowledge graphs and make improvements and optimizations to this approach. The main contributions of this paper are summarized as follows: (1) We design and implement a neural-symbolic integration model for knowledge graph logical queries, which consists of symbol query decomposition, neural relation projection, and fuzzy logical inference components. (2) We propose a relation-aware model for complex logical queries on knowledge graphs, which includes a newly designed graph neural network with residual structures and a relation-enhancement module to improve the accuracy and generalization capability of the model. Experimental results on the FB15k-237 dataset validate the effectiveness of the proposed model for knowledge graph logical query tasks. Finally, we summarize the achievements of this paper and provide further research prospects.","2164-5221","979-8-3503-8738-4","10.1109/ICSP62129.2024.10846507","National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10846507","Knowledge Graph;Neural Network;Logical Query;Neural-Symbolic Model;Fuzzy Inference","Knowledge engineering;Accuracy;Symbols;Knowledge graphs;Signal processing;Graph neural networks;Optimization","","","","26","IEEE","23 Jan 2025","28-31 Oct. 2024","28-31 Oct. 2024","IEEE","IEEE Conferences"
"Neuro-Symbolic Self-Explanatory AI (NS-XAI): A Real-Time Framework for Transparent and Adaptive Decision-Making","E. V","Department of Computer Science & Engineering (AI&ML), Siddharth Institute of Engineering & Technology, Puttur, India",2025 International Conference on Computing Technologies (ICOCT),"15 Aug 2025","2025","","","1","5","Artificial Intelligence (AI) is transforming industries such as healthcare, finance, cybersecurity, and autonomous systems, where real-time and transparent decision-making is crucial. However, most Explainable AI (XAI) techniques provide post-hoc explanations, meaning they explain decisions only after they are made. This delay reduces trust and makes AI difficult to use in time-sensitive applications like fraud detection, medical diagnosis, and autonomous driving. To overcome these challenges, we propose Neuro-Symbolic Self-Explanatory AI (NS-XAI), a novel approach that enables AI to explain its decisions instantly while making them. NS-XAI integrates Neural AI, which learns complex patterns from data, with Symbolic AI, which generates human-readable rules to justify decisions. Additionally, it features a self-explanatory layer that continuously refines explanations based on past decisions, ensuring consistency and improving interpretability. This system enhances fairness by helping users understand not only what decision was made but also why and how it was reached. Unlike traditional methods, NS-XAI operates in real-time, making it ideal for applications where instant and interpretable AI decisions are required. In fraud detection, it can immediately explain why a transaction is flagged as suspicious; and in healthcare, it can justify diagnoses with clear reasoning. By bridging the gap between AI accuracy and explainability, NS-XAI significantly reduces bias, enhances trust, and improves decision reliability Experiments show that NS-XAI is 10 times faster than existing explainability models while maintaining high accuracy. By offering real-time, clear, and adaptive explanations, this system makes AI more transparent, fair, and user-friendly, paving the way for the next generation of responsible and interpretable AI applications.","","979-8-3315-2794-5","10.1109/ICOCT64433.2025.11118512","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11118512","Explainable AI (XAI);Real-Time AI;Neuro-Symbolic AI;Self-Explanatory AI;Trustworthy AI;Knowledge Graphs;Transparent Decision-Making;Edge AI;Bias Reduction","Accuracy;Explainable AI;Decision making;Knowledge graphs;Real-time systems;Fraud;Reliability;Medical diagnosis;Artificial intelligence;Next generation networking","","","","21","IEEE","15 Aug 2025","13-14 June 2025","13-14 June 2025","IEEE","IEEE Conferences"
"Temporal Knowledge Graph Reasoning: A Survey of Representation Learning, Rule-based Learning, and Neural-Symbolic Hybrid Methods","Z. Wang; A. Li","School of Computer Science and Technology of Shandong University, Shandong University, Shandong, China; Computer School of National University of Defense Technology, National University of Defense Technology, Changsha, China",2025 IEEE 10th International Conference on Data Science in Cyberspace (DSC),"28 Jan 2026","2025","","","78","85","This article provides a systematic review of research advances in Temporal Knowledge Graph (TKG) reasoning. TKGs extend static knowledge graphs by incorporating timestamps into quadruples (head entity, relation, tail entity, time), enabling dynamic modeling of evolving knowledge. Focusing on two core tasks—interpolation reasoning (completing missing facts within known time intervals, i.e., Temporal Knowledge Graph Completion/TKGC) and extrapolation reasoning (predicting future events) — the work thoroughly analyzes three dominant methodological paradigms: 1) Representation learning approaches (e.g., models based on Graph Neural Networks/GNNs, Recurrent Neural Networks/RNNs, or Transformers) efficiently capture structural-temporal patterns using low-dimensional embeddings but generally lack interpretability; 2) Symbolic rule learning methods provide transparent reasoning paths yet struggle with complex temporal dynamics and sparse data; 3) Neuro-symbolic fusion techniques (including early fusion, late fusion, and iterative hybridization) combine neural network performance with symbolic rule interpretability to achieve a balance between both. Comparative analysis reveals critical challenges in the field: deep integration of causal modeling and interpretability, automated rule mining under sparse data conditions, multimodal and cross-domain knowledge fusion, and synergistic utilization of Large Language Models (LLMs). Future research should develop falsifiability-inspired frameworks to advance the dynamic equilibrium between reasoning capability and interpretability.","","979-8-3315-7924-1","10.1109/DSC67331.2025.00019","National Key Research and Development Program of China(grant numbers:2022YFB3104103); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11360387","Temporal Knowledge Graphs;Knowledge Graph Reasoning;Extrapolation;Neuro-Symbolic Hybrid Methods","Representation learning;Surveys;Extrapolation;Analytical models;Knowledge graphs;Transformer cores;Transformers;Cognition;Data models;Systematic literature review","","","","30","IEEE","28 Jan 2026","15-17 Aug. 2025","15-17 Aug. 2025","IEEE","IEEE Conferences"
"Application of Neuro-Symbolic Reasoning in Natural Language Processing","S. G. Aithal; A. B. Rao; C. C. B; S. Singh","Department of I&CT, MIT, MAHE, Manipal, Manipal, India; Department of I&CT, MIT, MAHE, Manipal, Manipal, India; Department of I&CT, MIT, MAHE, Manipal, Manipal, India; Department of I&CT, MIT, MAHE, Manipal, Manipal, India",2022 IEEE 6th Conference on Information and Communication Technology (CICT),"4 Jan 2023","2022","","","1","5","Commonsense reasoning is a crucial part of human intelligence. It has been a goal in the study of artificial intelligence to develop machines mimicking commonsense reasoning at par with humans. The deep learning models have advanced in many natural language processing tasks. However, they lack logical reasoning ability. Symbolic artificial intelligence has the potential reasoning ability wherein logic is used to reason efficiently. This led to the rise of neuro-symbolic reasoning, which is an integration of symbolic logic with deep learning. In this paper, we have experimented with the BERT, RoBERTa and GPT-J language models for question answering task to check their reasoning ability and found that they lack the reasoning ability. This paper compares the performance of the BERT, RoBERTa and GPT-J question-answering models with the neuro-symbolic reasoning model using logical neural networks. It is found that the neuro-symbolic reasoning model has the reasoning ability like humans, which infers that the neuro-symbolic reasoning model can effectively handle logical reasoning and is a key to the future of artificial intelligence.","","978-1-6654-7312-5","10.1109/CICT56698.2022.9997814","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9997814","Commonsense reasoning;Natural language processing;Neuro-symbolic reasoning;Logical reasoning;Artificial neural network;Question answering system","Deep learning;Computational modeling;Neural networks;Knowledge based systems;Bit error rate;Cognition;Question answering (information retrieval)","","1","","15","IEEE","4 Jan 2023","18-20 Nov. 2022","18-20 Nov. 2022","IEEE","IEEE Conferences"
"Automated Generative AI-Driven Forensic Analysis (AGAFA). An Explainable Neuro-Symbolic Approach to Digital Forensics","G. Parsonage; J. Dempsey","School of Computing, Engineering and Physical Sciences, The University of the West of Scotland, Paisley, United Kingdom; School of Law and Policing, University of Central Lancashire, Preston, United Kingdom","2025 International Conference on Software, Knowledge, Information Management & Applications (SKIMA)","16 Sep 2025","2025","","","1","6","Digital Forensics (DF) encompasses the processes of collecting, analysing, and preserving digital evidence crucial for investigations involving cybercrime, security breaches and other criminal cases. The rising number of digital devices requiring investigation, coupled with diminishing confidence in the legal process due to the extensive time needed to process these devices, has prompted the development of a novel framework known as AGAFA. This framework, powered by Explainable AI, aims to meet the growing demand for digital forensic services. The primary objectives of this hybrid neuro-symbolic approach are to enhance the transparency of Artificial Intelligence (AI) in forensic analyses and to protect digital systems. Additionally, it leverages the capabilities of Large Language Models (LLMs) to extract insights from vast datasets in a timely and cost-effective manner. A potential use case for this framework is also illustrated, showcasing its practical application.","","978-1-6654-5734-7","10.1109/SKIMA66621.2025.11155781","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11155781","Digital Forensics;Machine Learning;Large Language Models;Neuro-Symbolic AI;Explainable AI","Explainable AI;Law enforcement;Digital systems;Large language models;Digital forensics;Personal digital devices;Ontologies;Security;Logic;Computer crime","","1","","66","IEEE","16 Sep 2025","9-11 June 2025","9-11 June 2025","IEEE","IEEE Conferences"
"Towards Geospatial Knowledge Graph Infused Neuro-Symbolic AI for Remote Sensing Scene Understanding","A. Potnis; D. Lunga; A. Sorokine; P. Dias; L. Yang; J. Arndt; J. Bowman; J. Wohlgemuth","Geospatial Science and Human Security Division, Oak Ridge National Laboratory, Oak Ridge, USA; Geospatial Science and Human Security Division, Oak Ridge National Laboratory, Oak Ridge, USA; Geospatial Science and Human Security Division, Oak Ridge National Laboratory, Oak Ridge, USA; Geospatial Science and Human Security Division, Oak Ridge National Laboratory, Oak Ridge, USA; Geospatial Science and Human Security Division, Oak Ridge National Laboratory, Oak Ridge, USA; Geospatial Science and Human Security Division, Oak Ridge National Laboratory, Oak Ridge, USA; Geospatial Science and Human Security Division, Oak Ridge National Laboratory, Oak Ridge, USA; Geospatial Science and Human Security Division, Oak Ridge National Laboratory, Oak Ridge, USA",IGARSS 2023 - 2023 IEEE International Geoscience and Remote Sensing Symposium,"20 Oct 2023","2023","","","1400","1403","Deep learning has proven its effectiveness in numerous tasks for remote sensing scene understanding. However there is an increasing interest to explore fusion of domain-specific background information to the deep neural network to further improve its performance. Remote sensing researchers are also working towards developing models that generalize and adapt to multiple applications. Generalization challenges coupled with the scarcity of large corpora of high-quality noise-free labelled data, have together fueled an interest for leveraging background information. Knowledge graphs serve as excellent choice to represent domain-specific information in a structured, standardized and extensible manner. Integrating symbolic knowledge representations in the form of Knowledge Graph Embedding (KGE) to perform neuro-symbolic reasoning is an emerging research direction promising significant impacts. This vision paper seeks to position ideas and provoke early thoughts toward advancing neuro-symbolic artificial intelligence in the context of geospatial challenges. Specifically, it conceptualizes and elaborates on an architecture for infusing geospatial knowledge from knowledge graph in a deep neural network pipeline. As guiding case studies - land-use land-cover classification, object detection and instance segmentation can benefit from infusing spatio-contextual information with remote sensing imagery. The discussion further reflects on and articulates the challenges and explainable AI opportunities anticipated when scaling and maintaining large-scale geospatial knowledge graphs.","2153-7003","979-8-3503-2010-7","10.1109/IGARSS52108.2023.10281958","Battelle; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10281958","geospatial knowledge graphs;neuro-symbolic;knowledge-infused learning;remote sensing;scene understanding;deep learning;representation learning;knowledge graph embedding","Deep learning;Pipelines;Knowledge graphs;Artificial neural networks;Object detection;Cognition;Geospatial analysis","","4","","16","IEEE","20 Oct 2023","16-21 July 2023","16-21 July 2023","IEEE","IEEE Conferences"
"Neurosymbolic AI-Driven Zero-Defect Manufacturing in Semiconductor Assembly: A Hybrid Framework","M. Shenoy; S. Sahasrabudhe; F. Ameri","Arizona State University, Mesa, USA; Industry Product Quality Expert, Mesa, USA; Arizona State University, Mesa, USA",2025 36th Annual SEMI Advanced Semiconductor Manufacturing Conference (ASMC),"27 May 2025","2025","","","1","6","This paper presents an innovative framework for defect diagnosis and quality control in semiconductor manufacturing using neurosymbolic AI. By integrating knowledge graphs, ontologies, and deep neural networks, the approach harmonizes human expertise and machine learning to predict, diagnose, and mitigate defects in real time. Focusing on Failure Mode and Effects Analysis (FMEA) and other expert sources, the research transforms this knowledge into structured physics-aware ontologies and knowledge graphs to enable seamless integration with neural networks. Additionally, novel ensemble neural network architectures are explored to leverage the full potential of physics-aware neurosymbolic techniques. The proposed framework enhances defect prediction and root cause analysis and also paves the way for more interpretable and adaptive AI-driven quality control systems in semiconductor manufacturing.","2376-6697","979-8-3315-3185-0","10.1109/ASMC64512.2025.11010401","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11010401","Neurosymbolic AI;Knowledge Graphs;Ontologies;Zero Defect Manufacturing (ZDM);Deep Learning;Graph Neural Networks (GNNs);Root Cause Analysis (RCA);Explainable AI (XAI);Semiconductor Manufacturing;Defect Detection;Failure Mode and Effects Analysis (FMEA)","Deep learning;Root cause analysis;Adaptive systems;Knowledge graphs;Quality control;Transforms;Ontologies;Semiconductor device manufacture;Graph neural networks;Defect detection","","","","7","IEEE","27 May 2025","5-8 May 2025","5-8 May 2025","IEEE","IEEE Conferences"
"Self-Learning Ontology for Natural Hazards","I. Grujdin; M. Datcu","CEOSpaceTech, University Politehnica of Bucharest, Romania; CEOSpaceTech, University Politehnica of Bucharest, Romania",IGARSS 2023 - 2023 IEEE International Geoscience and Remote Sensing Symposium,"20 Oct 2023","2023","","","2227","2230","A neuro-symbolic construct is proposed to provide a fast, trustworthy, and explainable way for detecting and monitoring the natural hazards, mainly based on remote sensing Earth Observation imagery but also supported by other kind of information. A combination of Graph Convolutional Network (GCN) and Convolutional Neural Network (CNN) models, together with some traditional programming methods and techniques - image processing algorithms and libraries, dedicated libraries for ontology building and programming interface, have been selected to support the implementation of a self-supervised ontology learning for natural hazard identification and monitoring. The specific use of CNN or GCN will depend on the specific tasks, but here we consider a hybrid approach that use both CNN and GCN, where CNN could be used to extract features from images which then serves as inputs to a GCN.","2153-7003","979-8-3503-2010-7","10.1109/IGARSS52108.2023.10283448","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10283448","Convolutional Neural Network;Graph;Convolutional Network;Ontology-driven Programming;Ontology Graph;Self-supervised Learning Ontology","Ontologies;Programming;Feature extraction;Hazards;Libraries;Satellite images;Convolutional neural networks","","1","","11","IEEE","20 Oct 2023","16-21 July 2023","16-21 July 2023","IEEE","IEEE Conferences"
