"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"LEAF: Logic-Enhanced Adaptive Fusion for Large-Scale Ontology Alignment","X. Zhu; B. Liu; J. Li; X. Zhuang","Strategic Assessments and Consultation Institute, AMS, Beijing, China; Strategic Assessments and Consultation Institute, AMS, Beijing, China; Strategic Assessments and Consultation Institute, AMS, Beijing, China; School of Systems Science and Engineering, Sun Yat-Sen University, Guangzhou, China",2025 IEEE Cyber Science and Technology Congress (CyberSciTech),"14 Jan 2026","2025","","","385","392","Ontology alignment for large-scale, complex ontologies is a foundational yet challenging task, critical for data integration across diverse systems. Prevailing methods often struggle with balancing candidate generation quality and efficiency, effectively fusing heterogeneous information sources—a key challenge in indicator system fusion—and adapting to model-specific strengths. In addition, many deep learning approaches lack necessary interpretability, which limits their practical deployment in high-stakes domains. To address these challenges, we propose LEAF (Logic-Enhanced Adaptive Fusion), a novel, iterative alignment framework. LEAF introduces three core innovations: (1) a Progressive Expansion Recall strategy to ensure a high-quality candidate pool; (2) an interpretable Complementary Heterogeneous Matcher architecture that integrates deep semantic patterns with features from a semantically-decoupled topology model and an LLM-based logical reasoner; and (3) a Two-Level Adaptive Fusion mechanism inspired by meta-learning to intelligently combine matcher outputs. Evaluated on the highly demanding OAEI Anatomy benchmark, LEAF achieves a highly competitive F1-score of 0.883, demonstrating a strong and well-balanced performance with a Precision of 0.905 and a Recall of 0.863. Our work presents a new, effective paradigm for ontology alignment that successfully combines the feature engineering power of LLMs with a robust, interpretable, and adaptive discriminative framework.","","979-8-3315-9096-3","10.1109/CyberSciTech68397.2025.00058","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11323286","ontology alignment;indicator system fusion;large language models;adaptive fusion;heterogeneous information fusion","Metalearning;Adaptation models;Technological innovation;Semantics;Ontologies;Predictive models;Robustness;Topology;Anatomy;Pattern matching","","","","29","IEEE","14 Jan 2026","21-24 Oct. 2025","21-24 Oct. 2025","IEEE","IEEE Conferences"
"AI-Enhanced Management of Standard Operating Procedures: An Innovative Approach Integrating Large Language Models and Knowledge Graphs","N. Karacapilidis; N. Giarelis; C. Mastrokostas","Industrial Management & Information, Systems Lab - MEAD, University of Patras, Rio Patras, Greece; Industrial Management & Information, Systems Lab - MEAD, University of Patras, Rio Patras, Greece; Industrial Management & Information, Systems Lab - MEAD, University of Patras, Rio Patras, Greece","2025 16th International Conference on Information, Intelligence, Systems & Applications (IISA)","30 Dec 2025","2025","","","1","4","This paper presents an innovative solution to address inefficiencies in Standard Operating Procedure (SOP) management by integrating Large Language Models (LLMs) and Knowledge Graphs (KGs) to create an intelligent, contextaware digital assistant. Traditional SOP systems lack adaptability, contextual understanding, and dynamic functionality, leading to operational inefficiencies and compliance risks. By leveraging the interpretability of KGs and the generative capabilities of LLMs, the proposed solution offers enhanced functionality, including dynamic SOP chaining, realtime conflict detection, and actionable insights for decisionmaking. Through a specific example of use, we demonstrate how the proposed digital assistant enhances operational efficiency, reduces errors, and fosters adherence to regulatory standards. This work contributes to the evolution of SOP management by building on prominent AI advancements.","","979-8-3315-5636-5","10.1109/IISA66859.2025.11311202","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11311202","Large Language Models;Knowledge Graphs;Standard Operating Procedures;Explainable AI","Industries;Explainable AI;Large language models;Buildings;Knowledge graphs;Predictive analytics;Standards","","","","13","IEEE","30 Dec 2025","10-12 July 2025","10-12 July 2025","IEEE","IEEE Conferences"
"COTKEG: A Chain-of-Thought and Knowledge Graph Enhanced Method for Medical Large Language Models","J. -X. Huang; E. -L. Yan","School of Artificial Intelligence, South China Normal University, Foshan, China; School of Artificial Intelligence, South China Normal University, Foshan, China",2025 4th International Symposium on Computer Applications and Information Technology (ISCAIT),"3 Jun 2025","2025","","","321","324","With the rapid advancement of large language models (LLMs) in natural language processing (NLP), their medical applications are gaining attention. LLMs can support healthcare professionals in diagnosis and treatment but face challenges such as hallucinations, limited reasoning, and constrained data. High accuracy and reliability are crucial in medicine. This paper proposes the COTKEG framework, integrating chain-of-thought reasoning and knowledge graphs to enhance LLMs’ medical accuracy. The framework includes two key modules: one deconstructs complex medical issues step by step, while the other incorporates structured knowledge to reduce hallucinations and improve reliability. Experiments on MMCUMedical and CMB-Exam datasets show that COTKEG outperforms baselines in exact match (EM), partial correct rate (PCR), and medical expertise (h1) and harmlessness (h2) scores. Future work can optimize retrieval, adapt to dynamic knowledge, and expand applications. COTKEG offers a promising approach to improving medical LLMs’ accuracy, reliability, and safety.","","979-8-3315-4285-6","10.1109/ISCAIT64916.2025.11010691","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11010691","Artificial Intelligence;Large Language Models;Knowledge Graph;Chain-of-Thought Reasoning","Accuracy;Large language models;Knowledge graphs;Medical services;Cognition;Natural language processing;Safety;Reliability;Problem-solving;Medical diagnostic imaging","","","","26","IEEE","3 Jun 2025","21-23 March 2025","21-23 March 2025","IEEE","IEEE Conferences"
"A Knowledge Graph–Enhanced Large Language Model Framework for Intelligent Network Resource Management","H. Ding; Y. Chao; X. Li; X. Chen; X. Kong; X. Zhang","Network Research Center, China Mobile Design Institute, Beijing, China; Network Research Center, China Mobile Design Institute, Beijing, China; Network Research Center, China Mobile Design Institute, Beijing, China; Network Research Center, China Mobile Design Institute, Beijing, China; Network Research Center, China Mobile Design Institute, Beijing, China; Network Research Center, China Mobile Design Institute, Beijing, China","2025 6th International Conference on Big Data, Artificial Intelligence and Internet of Things Engineering (ICBAIE)","14 Jan 2026","2025","","","528","531","Telecom network resource management systems are primarily built on relational databases, leading to data fragmentation and semantic isolation across different professional domains such as transmission, access, and core networks. This paper proposes an intelligent resource management framework that integrates Knowledge Graphs (KG) and Large Language Models (LLM). Relational data are transformed into a semantic knowledge representation that unifies multi-domain resources and dependencies. The LLM operates as an AI agent that leverages this knowledge for semantic query, reasoning, and decision support, while also performing data validation and graph optimization to enhance overall data quality. This bidirectional enhancement—where the knowledge graph supports reasoning and the LLM refines the knowledge—enables a closed-loop intelligent management system. Application results in telecom resource operations, including transmission and cloud domains, demonstrate significant improvements in efficiency, accuracy, and interpretability.","","979-8-3315-3887-3","10.1109/ICBAIE66852.2025.11326597","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11326597","Knowledge Graph;Large Language Model;Network Resource Management;AI Agent;Intelligent Operations","Intelligent networks;Large language models;Semantics;Knowledge graphs;Relational databases;Network resource management;Cognition;Telecommunications;Internet of Things;Optimization","","","","10","IEEE","14 Jan 2026","17-19 Oct. 2025","17-19 Oct. 2025","IEEE","IEEE Conferences"
"Knowledge-Aware Synergistic Discovery of Drug Combinations: A Large Language Model Perspective","P. -Y. Lai; M. -S. Chen; D. -Z. Liao; C. -D. Wang; M. Chen; L. Mei","School of Electronics and Information, Guangdong Provincial Key Laboratory of Intellectual Property and Big Data, Guangdong Polytechnic Normal University, Guangzhou, China; School of Computer Science and Engineering, Guangdong Key Laboratory of Big Data Analysis and Processing, Sun Yat-sen University, Guangzhou, China; South China Technology Commercialization Center, Guangzhou, China; School of Computer Science and Engineering, Guangdong Key Laboratory of Big Data Analysis and Processing, Sun Yat-sen University, Guangzhou, China; School of Computer Science and Engineering, South China University of Technology, Guangzhou, China; State Key Laboratory of Advanced Medical Materials and Devices, Institute of Biomedical Engineering, Chinese Academy of Medical Sciences, Peking Union Medical College, Tianjin, China",IEEE Transactions on Computational Biology and Bioinformatics,"9 Oct 2025","2025","22","5","2267","2279","Drug combination therapy with significant advantages is a well-established concept in cancer treatment. Some related efforts have been made with multiple artful deep learning techniques. However, they are usually based on data for drug synergy prediction, ignoring the professional characteristics of data and the systematic knowledge accumulation. Meanwhile, integrating the dispersed professional knowledge and effectively utilizing it in data remains a crucial technical challenge. In this study, we propose KSDDC, a novel model for knowledge-aware synergistic discovery of drug combinations from a large language model (LLM) perspective (i.e., from the continuously learnable and refined large database). Within this framework, three main modules are well-designed, i.e., knowledge-aware drug feature auto-encoding, knowledge-aware cell line feature encoding and drug-drug synergy prediction. Informative embeddings of samples are discovered and combined to make accurate drug synergy prediction. Overall, KSDDC is superior compared with the other shallow machine learning based methods and deep learning based methods on several synergistic prediction benchmarks, where about 19% F1-score improvements over the second best method on DrugComb_1 can be observed. Starting with drug synergy prediction, our studies with knowledge-enabled data mining offer valuable insights and serve as a reference method for future research in this field.","2998-4165","","10.1109/TCBBIO.2025.3592471","National Key Research and Development Program of China(grant numbers:2024YFA1011900); Open Project Program of Guangxi Key Laboratory of Digital Infrastructure(grant numbers:GXDIOP2024011); Guangxi Key R&D Program(grant numbers:2024AB08144); National Natural Science Foundation of China(grant numbers:62276277); Guangdong Provincial Engineering Research Center of Intelligent Matching for Technology Commercialization(grant numbers:2022A175); Guangdong Provincial Key Laboratory of Intellectual Property and Big Data(grant numbers:2018B030322016); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11095414","Drug synergy;deep learning;heterogeneous knowledge;learnable database;large language model","Drugs;Feature extraction;Knowledge graphs;Databases;Large language models;Encoding;Data mining;Deep learning;Transformers;Predictive models","Humans;Drug Synergism;Deep Learning;Computational Biology;Drug Combinations;Data Mining;Machine Learning;Drug Discovery;Large Language Models","1","","49","IEEE","24 Jul 2025","Sept.-Oct. 2025","","IEEE","IEEE Journals"
"Multimodal Health Risk Prediction System for Chronic Diseases via Vision-Language Fusion and Large Language Models","D. Lu; S. Wu; X. Huang","Icahn School of Medicine at Mount Sinai, New York, NY, USA; Weill Cornell Medicine, New York, NY, USA; University of Chicago, Chicago, IL, USA","2025 International Conference on Artificial Intelligence, Human-Computer Interaction and Natural Language Processing (ICAHN)","6 Nov 2025","2025","","","76","79","With the rising global burden of chronic diseases and the multimodal and heterogeneous clinical data (medical imaging, free-text recordings, wearable sensor streams, etc.), there is an urgent need for a unified multimodal AI framework that can proactively predict individual health risks. We propose VL-RiskFormer: a hierarchical stacked visual-language multimodal Transformer with a large language model (LLM) inference head embedded in its top layer. The system builds on the dual-stream architecture of existing visual-linguistic models (e.g., PaLM-E, LLaVA) with four key innovations: (i) pre-training with cross-modal comparison, fine-grained alignment of radiological images, fundus maps, and wearable device photos with corresponding clinical narratives using momentum update encoders and debiased InfoNCE losses; (ii)Tme fusion block integrates irregular visit sequences into the causal Transformer decoder through adaptive time interval position coding; (iii) Design a disease ontology map adapter, injecting ICD-10 into visual and textual channels in layers, and inferring comorbid patterns with the help of graph attention mechanism. On the MIMIC-IV longitudinal cohort, VL-RiskFormer achieved an average AUROC of 0.9 with an expected calibration error of 2.7%.","","979-8-3315-9632-3","10.1109/ICAHN67688.2025.00022","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11216701","Multimodal Fusion;Hierarchical Transformer;Electronic Health Records;Personalized Health Recommendations","Visualization;Technological innovation;Large language models;Time series analysis;Ontologies;Transformers;Wearable devices;Wearable sensors;Diseases;Biomedical imaging","","","","12","IEEE","6 Nov 2025","23-25 May 2025","23-25 May 2025","IEEE","IEEE Conferences"
"Integrating Dynamic Knowledge Graphs with Large Language Models for Physiological Modeling in Traditional Chinese Medicine","H. Li; A. Wulamu; Q. Liu; J. Xiao","School of Automation and Electrical Engineering, University of Science and Technology Beijing, Beijing, China; School of Computer and Communication Engineering, University of Science and Technology Beijing, Beijing, China; School of Computer and Communication Engineering, University of Science and Technology Beijing, Beijing, China; School of Computer and Communication Engineering, University of Science and Technology Beijing, Beijing, China","2025 IEEE 6th International Conference on Computer, Big Data, Artificial Intelligence (ICCBD+AI)","18 Feb 2026","2025","","","1","5","Large Language Models (LLMs) have demonstrated remarkable capabilities in natural language understanding and generation, yet their applicability to Traditional Chinese Medicine (TCM) remains limited due to insufficient coverage of physiological knowledge and the high cost of updating domain-specific content. To address these challenges, we propose the TCM-PK-Model, a novel framework that integrates dynamic physiological knowledge graphs with LLMs. Our approach introduces a multi-granularity semantic abstraction strategy for index construction, enabling efficient summarization of entities, triples, and knowledge modules while preserving interpretability. During retrieval, we design a multi-perspective query mechanism that combines semantic similarity matching with triple-importance scoring, enhancing the accuracy and relevance of retrieved knowledge. For generation, we construct a high-quality TCM physiological question–answering dataset through LLM-based data augmentation and BM25-based filtering, and conduct full-parameter fine-tuning of the Qwen2.5-7B model to enrich its domain expertise. Experimental results demonstrate that our model significantly reduces hallucinations, improves factual consistency, and achieves notable gains in ROUGE and BLEU scores compared to baseline LLMs. This work provides a scalable pathway for integrating dynamic knowledge graphs with LLMs, advancing both the reliability and interpretability of AI-assisted physiological modeling in TCM.","","979-8-3503-8062-0","10.1109/ICCBDAI66607.2025.11388184","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11388184","Dynamic Knowledge Graphs;Large Language Models;Traditional Chinese Medicine;Physiological Modeling;Retrieval-Augmented Generation;Domain-Specific Fine-Tuning","Costs;Large language models;Computational modeling;Biological system modeling;Semantics;Knowledge graphs;Physiology;Data models;Reliability;Biomedical imaging","","","","12","IEEE","18 Feb 2026","21-23 Nov. 2025","21-23 Nov. 2025","IEEE","IEEE Conferences"
"Hybrid Knowledge Graph Integration in Large Language Models for Explainable Contextual Understanding and Improved Accuracy","G. V. Krishna; D. A. J. Sunderraj; F. D. D; U. Kiran M; V. T. R. P. K. M; V. M. Gupta","Department of CSE (AI&ML), Prasad V Potluri Siddhartha Institute of Technology, Vijayawada, India; Department of ME, St.Joseph's Institute of Technology OMR, Chennai, India; Department of ME, St.Joseph's Institute of Technology OMR, Chennai, India; Department of IT, Vidya Jyothi Institute of Technology, Hyderabad, India; Department of Computer Science, Kakaraparti Bhavanarayana College, Vijayawada, Andhra Pradesh, India; Department of CSE, SRKR Engineering College, Bhimavaram, India",2025 6th International Conference on IoT Based Control Networks and Intelligent Systems (ICICNIS),"1 Jan 2026","2025","","","1465","1470","The study investigated the application of Hybrid Knowledge Graphs (HKGs) to Large Language Models (LLMs) to improve contextual understanding, semantic accuracy, and interpretability. Although LLMs such as GPT and BERT can be quite strong language generators, they tend to fail and have problems in factual reasoning, entity disambiguation, and multi-hop inference because they have very weak structured knowledge. To overcome these shortcomings, a hybrid architecture was developed combining structured knowledge of Knowledge Graphs with transformer based Embeddings of LLM using embedding alignment, contextual fusion and attention-based reasoning. Several benchmark datasets, quantitative metrics, such as, perplexity, contextual coherence, semantic similarity, and reasoning accuracy, and visual analyses, such as, accuracy trends, confusion matrices, and embedding projections, were used to evaluate the model. The findings showed that the hybrid model was much more effective at contextual understanding, semantic ambiguity, and reasoning interpretability than the base LLMs. The results show that Knowledge Graph integration is semantically grounded, can enhance representational consistency, and can support human-like reasoning, which can be used to present a strong framework of explainable and context-aware AI systems.","","979-8-3315-1520-1","10.1109/ICICNIS66685.2025.11315825","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11315825","Large Language Models;Hybrid Knowledge Graph;Contextual Understanding;Semantic Reasoning;Explainable AI","Measurement;Visualization;Accuracy;Large language models;Semantics;Knowledge graphs;Transformers;Market research;Cognition;Context modeling","","","","23","IEEE","1 Jan 2026","15-17 Dec. 2025","15-17 Dec. 2025","IEEE","IEEE Conferences"
"Research on Large Language Models for Elderly Travel Education Integrated with External Knowledge Bases","W. Wang; Y. Chen; X. Pan","School of Computer Science and Technology, Changchun University, Changchun, China; School of Computer Science and Technology, Changchun University, Changchun, China; School of Computer Science and Technology, Changchun University, Changchun, China","2024 3rd International Conference on Cloud Computing, Big Data Application and Software Engineering (CBASE)","14 Jan 2025","2024","","","205","209","A Large Language Model has demonstrated exceptional performance across a variety of tasks. However, when deployed in specific domains like smart elderly care, the models still face challenges due to a deficiency in domain-specific knowledge and encounter performance bottlenecks in providing services for older people. In this paper, we introduce an LLM named ChatDriver, which is tailored for elderly travel education. Considering the importance of data quality, we have carefully designed a fine-tuning dataset for the older population care domain. Additionally, we propose a method that combines vector database retrieval with keyword retrieval to effectively address the uncertainty issues caused by vector similarity matching in vector databases. Furthermore, by employing a novel attention mechanism and improving memory management and computational resource utilization, we have significantly enhanced the model's performance.","","979-8-3315-0658-2","10.1109/CBASE64041.2024.10824480","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10824480","Large Language Model;Memory Management;Elderly Travel Education","Uncertainty;Databases;Computational modeling;Large language models;Education;Memory management;Vectors;Data models;Resource management;Older adults","","","","19","IEEE","14 Jan 2025","11-13 Oct. 2024","11-13 Oct. 2024","IEEE","IEEE Conferences"
"A Hybrid Approach to Extraction of Knowledge From Scientific Texts Based on Large Language Models and Domain Dictionaries","A. Chusova; I. Artemieva; A. Chusov","Department Software Engineering and Artificial Intelligence, Far Eastern Federal University, Vladivostok, Russia; Department Software Engineering and Artificial Intelligence, Far Eastern Federal University, Vladivostok, Russia; Department Software Engineering and Artificial Intelligence, Far Eastern Federal University, Vladivostok, Russia","2024 IEEE International Multi-Conference on Engineering, Computer and Information Sciences (SIBIRCON)","26 Nov 2024","2024","","","266","271","The vast information landscape of the Internet constitute a significant challenge for extracting valuable content. The lack of standardized data models and structures necessitates ad hoc solutions, often requiring expert knowledge that developers may lack. While Large Language Models (LLMs) hold promise for addressing this challenge, their susceptibility to AI hallucinations and inaccuracies necessitates ongoing research. This paper introduces a hybrid approach for extracting information on computational methods that combines domain-specific dictionaries with LLMs in order to improve the accuracy of method categorization. Our system incorporates explainability, allowing users to understand the reasoning behind method assignments. Furthermore, user-driven training is facilitated by allowing users to select theories and highlight relevant keywords, enhancing learning capabilities of the system. Its implementation demonstrates the effectiveness of this approach, achieving an impressive Fl-score of up to 90.3 %. This research contributes to the ongoing effort to develop robust and accurate knowledge extraction systems for navigating the ever-expanding landscape of online information.","2995-0996","979-8-3315-3202-4","10.1109/SIBIRCON63777.2024.10758538","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10758538","Large Language Model;Dictionary;Classilication;Acoustic models","Training;Accuracy;Dictionaries;Navigation;Large language models;Computational modeling;Ontologies;Acoustics;Software;Data mining","","","","16","IEEE","26 Nov 2024","30 Sept.-2 Oct. 2024","30 Sept.-2 Oct. 2024","IEEE","IEEE Conferences"
