"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Wang, T.; Ma, Y.; Zhang, R.","Wang, Tao (60170763700); Ma, Yunqing (60170314100); Zhang, Rong (60171438200)","60170763700; 60170314100; 60171438200","Concept-Level Cognitive Modeling via Multimodal Interaction: A Neuro-Symbolic Hybrid Approach for Early Concept Acquisition","2025","International Journal of Pattern Recognition and Artificial Intelligence","39","16","2550030","","","0","10.1142/S0218001425500302","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020783656&doi=10.1142%2FS0218001425500302&partnerID=40&md5=b538902370198c0d71bafa6cd1d5505d","Yinchuan University of Energy, Yinchuan, Ningxia, China","Wang, Tao, Yinchuan University of Energy, Yinchuan, Ningxia, China; Ma, Yunqing, Yinchuan University of Energy, Yinchuan, Ningxia, China; Zhang, Rong, Yinchuan University of Energy, Yinchuan, Ningxia, China","Concept-level cognitive modeling is fundamental to building intelligent systems that can interpret, reason, and interact with the world in a human-like manner. While recent advances in deep learning and multimodal representation have enabled impressive progress in pattern recognition, they fall short of capturing abstract, structured concepts such as spatial relations, agency, and containment that underpin human cognition. This paper presents a neuro-symbolic hybrid framework for early concept acquisition through multimodal interaction. Our approach integrates perceptual input from vision and language with symbolic abstraction, enabling the system to form and refine concept representations via active cross-modal grounding. Central to our method is a dynamic concept representation layer that links symbolic units to neural embeddings, allowing the model to incrementally build a structured concept space without requiring predefined ontologies or exhaustive retraining. An interactive learning loop drives the alignment between modalities, supports hypothesis testing, and facilitates continual concept refinement. We validate our framework on both synthetic and real-world datasets across a range of conceptual tasks including spatial relation understanding, object function reasoning, and affordance inference. Experimental results demonstrate that our model outperforms purely neural and purely symbolic baselines in generalization, interpretability, and adaptability. This work contributes to the development of cognitively inspired AI systems that learn abstract knowledge from interaction, bridging the gap between subsymbolic perception and symbolic reasoning. © 2025 World Scientific Publishing Company.","Cognitive modeling; concept acquisition; multimodal interaction; neuro-symbolic learning","Abstracting; Deep learning; Intelligent systems; Interactive computer systems; Learning systems; Mergers and acquisitions; Ontology; Pattern recognition; Statistical tests; Building intelligent systems; Cognitive model; Concept acquisitions; Concept levels; Human like; Hybrid approach; Multimodal Interaction; Neuro-symbolic learning; Spatial relations; Symbolic learning; Cognitive systems","T. Wang; Yinchuan University of Energy, Yinchuan, NingXia, 750001, China; email: wangtao@ycu.com.cn","","World Scientific","02180014","","IJPIE","","English","Int J Pattern Recognit Artif Intell","Article","Final","","Scopus","2-s2.0-105020783656"
"Kamdem Teyou, L.M.; Friedrichs, L.; Kouagou, N.J.; Demir, C.; Mahmood, Y.; Heindorf, S.; Ngonga-Ngomo, A.-C.","Kamdem Teyou, Louis Mozart (59368399000); Friedrichs, Luke (60162030900); Kouagou, N'Dah Jean (57226295448); Demir, Caglar (57215430323); Mahmood, Yasir (57219749886); Heindorf, Stefan (57044833200); Ngonga-Ngomo, Axel Cyrille (23397850200)","59368399000; 60162030900; 57226295448; 57215430323; 57219749886; 57044833200; 23397850200","Neural Reasoning for Robust Instance Retrieval in SHOIQ","2025","K-CAP 2025 - Proceedings of the 13th Knowledge Capture Conference 2025","","","","61","68","0","10.1145/3731443.3771348","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024939062&doi=10.1145%2F3731443.3771348&partnerID=40&md5=7cd6a7f00f4c4d940abedfbe072afec2","Department of Computer Science, Paderborn University, Paderborn, Nordrhein-Westfalen, Germany; Paderborn University, Paderborn, Nordrhein-Westfalen, Germany; Data Science Group, Paderborn University, Paderborn, Nordrhein-Westfalen, Germany; Institute of Computer Science, Paderborn University, Paderborn, Nordrhein-Westfalen, Germany","Kamdem Teyou, Louis Mozart, Department of Computer Science, Paderborn University, Paderborn, Nordrhein-Westfalen, Germany; Friedrichs, Luke, Paderborn University, Paderborn, Nordrhein-Westfalen, Germany; Kouagou, N'Dah Jean, Paderborn University, Paderborn, Nordrhein-Westfalen, Germany; Demir, Caglar, Paderborn University, Paderborn, Nordrhein-Westfalen, Germany; Mahmood, Yasir, Paderborn University, Paderborn, Nordrhein-Westfalen, Germany, Data Science Group, Paderborn University, Paderborn, Nordrhein-Westfalen, Germany; Heindorf, Stefan, Institute of Computer Science, Paderborn University, Paderborn, Nordrhein-Westfalen, Germany; Ngonga-Ngomo, Axel Cyrille, Department of Computer Science, Paderborn University, Paderborn, Nordrhein-Westfalen, Germany","Concept learning exploits background knowledge in the form of description logic axioms to learn explainable classification models from knowledge bases. Despite recent breakthroughs in neuro-symbolic concept learning, most approaches still cannot be deployed on real-world knowledge bases. This is due to their use of description logic reasoners, which are not robust against inconsistencies nor erroneous data. We address this challenge by presenting a novel neural reasoner dubbed Ebr. Our reasoner relies on embeddings to approximate the results of a symbolic reasoner. We show that Ebr solely requires retrieving instances for atomic concepts and existential restrictions to retrieve or approximate the set of instances of any concept in the description logic. In our experiments, we compare Ebr with state-of-the-art reasoners. Our results suggest that Ebr is robust against missing and erroneous data in contrast to existing reasoners. © 2025 Copyright held by the owner/author(s).","","Computer circuits; Resource Description Framework (RDF); Background knowledge; Classification models; Concept learning; Description logic; Embeddings; Instance retrieval; Learn+; Real-world; Reasoners; World knowledge; Data description","L.M. Kamdem Teyou; Computer Science, Heinz Nixdorf Institute-Paderborn University, Paderborn, Germany; email: louis888@mail.uni-paderborn.de","Shimizu, C.; Ferrada, S.; Kagal, L.","Association for Computing Machinery, Inc","","9798400718670","","","English","K-CAP - Proc. Knowl. Capture Conf.","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105024939062"
"Purohit, D.; Chudasama, Y.; Vidal, M.-E.","Purohit, Disha (58684366500); Chudasama, Yashrajsinh (58684465700); Vidal, María Esther (7202765018)","58684366500; 58684465700; 7202765018","Capturing Symbolic Knowledge of Constraints and Incompleteness to Guide Inductive Learning in Neuro-Symbolic Knowledge Graph Completion","2025","K-CAP 2025 - Proceedings of the 13th Knowledge Capture Conference 2025","","","","111","118","0","10.1145/3731443.3771355","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024938908&doi=10.1145%2F3731443.3771355&partnerID=40&md5=f02f1b5ada42dfd4b965ee0fdf2d4727","Technische Informationsbibliothek (TIB), Hannover, Niedersachsen, Germany","Purohit, Disha, Technische Informationsbibliothek (TIB), Hannover, Niedersachsen, Germany; Chudasama, Yashrajsinh, Technische Informationsbibliothek (TIB), Hannover, Niedersachsen, Germany; Vidal, María Esther, Technische Informationsbibliothek (TIB), Hannover, Niedersachsen, Germany","Knowledge Graphs (KGs) are widely used to represent structured knowledge. However, their incompleteness under the Open World Assumption (OWA) limits their effectiveness for reasoning and inference. Neural link prediction models can recover missing links. Yet, these models often overlook the distinction between semantically valid and invalid inferences and lack mechanisms to validate predictions against domain-specific constraints. In sensitive domains such as healthcare, predicting a plausible but contraindicated relation can have harmful consequences. This work addresses semantically grounded KG completion by extending the Partial Completeness Assumption (PCA) with two metrics - PCA<inf>valid</inf> and PCA<inf>invalid</inf>. These metrics distinguish constraint-compliant from constraint-violating predictions using SHACL validation. They guide the selection of symbolic rules and the generation of labeled training data for neural models. As a result, link prediction systems can assess both plausibility and semantic validity. Experiments on 315 testbeds demonstrate that incorporating constraint-aware symbolic knowledge enhances MRR and Hits@K across multiple KG embedding models, including TransE and TransH. Thus, this approach supports interpretable and trustworthy KG completion. © 2025 Copyright held by the owner/author(s).","Inductive Learning; Knowledge Graphs; Partial Completeness Assumption; Symbolic Constraint Validation; Symbolic Learning","Domain Knowledge; Graph theory; Human engineering; Knowledge graph; Labeled data; Prediction models; Semantics; Constraints validations; Inductive learning; Knowledge graphs; Link prediction; Open world assumption; Partial completeness assumption; Structured knowledge; Symbolic constraint validation; Symbolic knowledge; Symbolic learning; Forecasting","D. Purohit; Scientific Data Management, TIB Leibniz Information Centre for Science and Technology, University Library in Hannover, Hannover, Lower Saxony, Germany; email: disha.purohit@tib.eu","Shimizu, C.; Ferrada, S.; Kagal, L.","Association for Computing Machinery, Inc","","9798400718670","","","English","K-CAP - Proc. Knowl. Capture Conf.","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105024938908"
"Ibrahim, M.; Gervás, P.; Méndez, G.","Ibrahim, Mossab (60241777100); Gervás, Pablo (8515729400); Méndez, Gonzalo (36639693500)","60241777100; 8515729400; 36639693500","CST-Onto: An Ontological Framework for Culturally-Grounded Narrative Generation in Arabic","2025","K-CAP 2025 - Proceedings of the 13th Knowledge Capture Conference 2025","","","","174","181","0","10.1145/3731443.3771364","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024935726&doi=10.1145%2F3731443.3771364&partnerID=40&md5=50d868aa9241b4d0a3e1dff1f8900f0e","Universidad Complutense de Madrid, Madrid, Madrid, Spain; Instituto de Tecnología del Conocimiento, Universidad Complutense de Madrid, Madrid, Madrid, Spain","Ibrahim, Mossab, Universidad Complutense de Madrid, Madrid, Madrid, Spain; Gervás, Pablo, Instituto de Tecnología del Conocimiento, Universidad Complutense de Madrid, Madrid, Madrid, Spain; Méndez, Gonzalo, Instituto de Tecnología del Conocimiento, Universidad Complutense de Madrid, Madrid, Madrid, Spain","Contemporary Arabic narrative generation faces a critical cultural authenticity crisis, where neural models systematically violate classical adab principles despite sophisticated linguistic capabilities. We introduce CST-Onto, a hybrid neuro-symbolic framework addressing this challenge through the first domain-specific OWL/SWRL ontology for Arabic cultural narratives. Our four-tier ontology encodes 87 core cultural archetypes from expert annotations of Kalila wa Dimna and One Thousand and One Nights [13], expanded to 847 specialized concepts through systematic derivation protocols. The framework formalizes 234 SWRL rules modeling virtue dependencies (e.g., hakim ← hilm, adl, fasaha) that directly enhance symbolic-neural integration via constraint-aware neural decoding.Our constraint-injection algorithm maintains sub-28 ms/token latency on NVIDIA V100 GPUs across 1,000 narrative segments, enabling real-time cultural schema enforcement. Evaluation using our novel CRAFT benchmark demonstrates substantial improvements: across 120 native Arabic speakers, we report role coherence (κ = 0.89), moral-causality consistency (κ = 0.83), and dialectal authenticity (κ = 0.92) using validated classifier methodologies. CST-Onto outputs achieved human preference in pairwise comparisons (p < 0.001) against baseline models, representing a improvement in cultural fidelity. © 2025 Copyright held by the owner/author(s).","Arabic Narrative Generation; Cultural Evaluation Metrics; Cultural Schema Ontology; Hybrid Architecture; Knowledge-Driven NLG; Neuro-Symbolic AI; OWL/SWRL Reasoning","Knowledge management; Linguistics; Neural networks; Ontology; Arabic narrative generation; Cultural evaluation metric; Cultural schema ontology; Evaluation metrics; Hybrid architectures; Knowledge-driven NLG; Neuro-symbolic AI; Ontological frameworks; Ontology's; OWL/SWRL reasoning; Birds","M. Ibrahim; Facultad de Informatica, Universidad Complutense de Madrid, Madrid, Spain; email: mibrahim@ucm.es","Shimizu, C.; Ferrada, S.; Kagal, L.","Association for Computing Machinery, Inc","","9798400718670","","","English","K-CAP - Proc. Knowl. Capture Conf.","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105024935726"
"Erkimbaev, A.O.; Zitserman, V.Y.; Kobzev, G.A.","Erkimbaev, Adilbek O. (6602712591); Zitserman, Vladimir Yu (6701651509); Kobzev, Georgii A. (6603494443)","6602712591; 6701651509; 6603494443","Modern Possibilities of Joint Application of Ontologies and Machine Learning for Working with Data","2025","Scientific and Technical Information Processing","52","4","","293","309","0","10.3103/S0147688225700686","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029653459&doi=10.3103%2FS0147688225700686&partnerID=40&md5=6e5213c0b378265fc35df6b83e9f549a","Joint Institute for High Temperatures of the Russian Academy of Sciences, Moscow, Russian Federation","Erkimbaev, Adilbek O., Joint Institute for High Temperatures of the Russian Academy of Sciences, Moscow, Russian Federation; Zitserman, Vladimir Yu, Joint Institute for High Temperatures of the Russian Academy of Sciences, Moscow, Russian Federation; Kobzev, Georgii A., Joint Institute for High Temperatures of the Russian Academy of Sciences, Moscow, Russian Federation","Abstract: This paper analyzes the problems of the joint application of machine learning methods and ontologies. It explores the potential of the neurosymbolic approach to address the well-known issue of limited interpretability and explainability in machine learning outcomes. An analysis of recent literature has revealed that the combination of symbolic knowledge representation in the form of ontologies with neural networks has given rise to a new field of research: ontology-driven neuro-symbolic intelligence. This field is actively developing graph database platforms, vector storage techniques, and large language model technologies. The paper presents the first results of testing neuro-symbolic technologies using the AllegroGraph database and thermophysical ontology as an example. © Allerton Press, Inc. 2025.","explanation; graph databases; logical reasoning; machine learning; neuro symbolic intelligence; ontology; subsymbolic data; symbolic data","Digital storage; Graph Databases; Knowledge representation; Learning systems; Machine learning; Neural networks; Application of ontologies; Explanation; Graph database; Logical reasoning; Machine-learning; Neuro symbolic intelligence; Ontology's; Sub-symbolic; Subsymbolic data; Symbolic data; Ontology","A.O. Erkimbaev; Joint Institute for High Temperatures, Moscow, 125412, Russian Federation; email: adilbek@ihed.ras.ru; V.Y. Zitserman; Joint Institute for High Temperatures, Moscow, 125412, Russian Federation; email: vz1941@mail.ru; G.A. Kobzev; Joint Institute for High Temperatures, Moscow, 125412, Russian Federation; email: gkbz@mail.ru","","Pleiades Publishing","01476882","","","","English","Sci. Global Secur. Tech. Inf. Process.","Article","Final","","Scopus","2-s2.0-105029653459"
"Ben Othman, S.; Ali, O.","Ben Othman, Soufiane (60260130300); Ali, Obaid (57484180200)","60260130300; 57484180200","Quantum-entangled neuro-symbolic swarm federation for privacy-preserving IoMT-driven multimodal healthcare","2025","Scientific Reports","15","1","44622","","","0","10.1038/s41598-025-31820-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105026184089&doi=10.1038%2Fs41598-025-31820-6&partnerID=40&md5=5635310c3dd44c3d44de9180dad2c5e9","Applied College, King Faisal University, Al-Ahsa, Ash Sharqiyah, Saudi Arabia; Department of Computer Science and Information Technology, Ibb University, Ibb, Yemen","Ben Othman, Soufiane, Applied College, King Faisal University, Al-Ahsa, Ash Sharqiyah, Saudi Arabia; Ali, Obaid, Department of Computer Science and Information Technology, Ibb University, Ibb, Yemen","The integration of Internet of Medical Things (IoMT) ecosystems with multimodal data, real-time sensors, fMRI/EEG, genomics, and clinical text, holds transformative potential for rare disease diagnostics and personalized medicine. However, ultra-scarce datasets (per institution), quantum-era threats (e.g., Shor and Grover algorithms), and stringent regulatory requirements expose critical limitations in centralized AI and classical federated learning. To address these challenges, we propose the Quantum-Entangled Neuro-Symbolic Swarm Federation (QENSSF), a pioneering framework that unifies quantum-entangled differential privacy (QEDP), neuro-symbolic swarm intelligence, and privacy-aware large language model (LLM) fine-tuning within an IoMT-driven architecture. QENSSF introduces four foundational innovations: (1) QEDP, leveraging 9-qubit W-states and variational quantum circuits to achieve -differential privacy with –0.17 and, resilient to quantum inference attacks; (2) Neuro-symbolic swarm agents that fuse CNNs, GNNs, LSTMs, and Transformers with symbolic logic, optimized via Quantum-Entangled Particle Swarm Optimization for convergence; (3) Federated LLM adaptation using QEDP-masked gradients and symbolic guards to prevent hallucination-induced leaks; and (4) Ethical, explainable AI via dynamic knowledge graphs secured by quantum multi-party computation. Evaluated on IBM’s 127-qubit Eagle processor (,) and 128 NVIDIA A100 GPUs across synthetic and real-world datasets (ADNI, UK Biobank, MIMIC-IV), QENSSF achieves 45% higher F1-score, 30% improved ROUGE-L, and attack success rate under membership inference. It delivers 6.3 million ops/s (58% faster than FedAvg), consumes only 0.38 kWh (52% less energy), reduces communication overhead to 2.1 Mb/iter (66% lower), and attains 99% fault recovery, all while ensuring regulatory compliance and clinician-trustworthy explanations. QENSSF sets a new standard for secure, efficient, and interpretable AI in resource-constrained, privacy-sensitive healthcare environments. © The Author(s) 2025.","Multimodal rare disease diagnostics; Neuro-symbolic swarm intelligence; Privacy-preserving healthcare AI; Quantum-entangled federated learning; Quantum-secure differential privacy","algorithm; computer security; health care delivery; human; internet of things; privacy; Algorithms; Computer Security; Delivery of Health Care; Humans; Internet of Things; Privacy","O. Ali; Department of Computer Science and Information Technology, Ibb University, Ibb, Yemen; email: obaid.alii2016@gmail.com","","Nature Research","","","","41366026","English","Sci. Rep.","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105026184089"
"Isakov, A.; Zaglubotskii, A.; Tomilov, I.; Gusarova, N.; Vatian, A.; Boukhanovsky, A.","Isakov, Artem (57697186700); Zaglubotskii, Artem (60198534600); Tomilov, Ivan V. (57772599000); Gusarova, N. F. (56498728700); Vatian, Alexandra S. (57191870868); Boukhanovsky, Alexander V. (6603474810)","57697186700; 60198534600; 57772599000; 56498728700; 57191870868; 6603474810","Bridging Heterogeneous Agents: A Neuro-Symbolic Knowledge Transfer Approach","2025","Technologies","13","12","568","","","1","10.3390/technologies13120568","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105025910740&doi=10.3390%2Ftechnologies13120568&partnerID=40&md5=99b01e2402d296e494b40e177f7e526e","Information Technologies, Mechanics and Optics University, Saint Petersburg, Russian Federation","Isakov, Artem, Information Technologies, Mechanics and Optics University, Saint Petersburg, Russian Federation; Zaglubotskii, Artem, Information Technologies, Mechanics and Optics University, Saint Petersburg, Russian Federation; Tomilov, Ivan V., Information Technologies, Mechanics and Optics University, Saint Petersburg, Russian Federation; Gusarova, N. F., Information Technologies, Mechanics and Optics University, Saint Petersburg, Russian Federation; Vatian, Alexandra S., Information Technologies, Mechanics and Optics University, Saint Petersburg, Russian Federation; Boukhanovsky, Alexander V., Information Technologies, Mechanics and Optics University, Saint Petersburg, Russian Federation","This paper presents a neuro-symbolic approach for constructing distributed knowledge graphs to facilitate cooperation through communication among spatially proximate agents. We develop a graph autoencoder (GAE) that learns rich representations from heterogeneous modalities. The method employs density-adaptive k-nearest neighbor (k-NN) construction with Gabriel pruning to build the proximity graphs that balance local density awareness with geometric consistency. When the agents enter the bridging zone, their individual knowledge graphs are aggregated into hypergraphs using a construction algorithm, for which we derive the theoretical bounds on the minimum number of hyperedges required for connectivity under arity and locality constraints. We evaluate the approach in PettingZoo’s communication-oriented environment, observing improvements of approximately 10% in episode rewards and up to 40% in individual agent rewards compared to Deep Q-Network (DQN) baselines, while maintaining comparable policy loss values. The explicit graph structures may offer interpretability benefits for applications requiring auditability. This work explores how structured knowledge representations can support cooperation in distributed multi-agent systems with heterogeneous observations. © 2025 by the authors.","internet of agents; knowledge graphs; multi-agent systems; neuro-symbolic artificial intelligence; reinforcement learning; representation learning","Computational methods; Graph algorithms; Graph structures; Graphic methods; Intelligent agents; Knowledge graph; Knowledge management; Knowledge transfer; Learning systems; Nearest neighbor search; Distributed knowledge; Heterogeneous agents; Internet of agent; Knowledge graphs; Multiagent systems (MASs); Neuro-symbolic artificial intelligence; Reinforcement learnings; Representation learning; Symbolic knowledge; Multi agent systems","A. Isakov; Department of Infocommunication Technologies, Information Technologies, Mechanics and Optics University, Saint-Petersburg, 197101, Russian Federation; email: aoisakov@itmo.ru; A. Vatian; Department of Infocommunication Technologies, Information Technologies, Mechanics and Optics University, Saint-Petersburg, 197101, Russian Federation; email: asvatian@itmo.ru","","Multidisciplinary Digital Publishing Institute (MDPI)","","","","","English","Technol.","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105025910740"
"Elkaimbillah, Z.; McHarfi, Z.; Khoual, M.; Elasri, B.","Elkaimbillah, Zineb (58290660200); McHarfi, Zineb (56786572100); Khoual, Mohamed (58882248500); Elasri, Bouchra (6504757785)","58290660200; 56786572100; 58882248500; 6504757785","NeSy-Guidance: A Neuro-Symbolic Knowledge Graph for Academic Recommendations Combining Rule-Based Reasoning and Neural Inference","2025","International Journal of Modern Education and Computer Science","17","6","","48","64","0","10.5815/ijmecs.2025.06.04","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024890648&doi=10.5815%2Fijmecs.2025.06.04&partnerID=40&md5=28a248f8f3228fe92e97c2c5a594ab6e","Rabat Information Technology Center, Rabat, Morocco","Elkaimbillah, Zineb, Rabat Information Technology Center, Rabat, Morocco; McHarfi, Zineb, Rabat Information Technology Center, Rabat, Morocco; Khoual, Mohamed, Rabat Information Technology Center, Rabat, Morocco; Elasri, Bouchra, Rabat Information Technology Center, Rabat, Morocco","The growing complexity of academic and career decision-making requires intelligent systems that can deliver personalized recommendations while ensuring strict compliance with institutional policies and incorporating evolving contextual factors. This paper introduces NeSy-Guidance, a neuro-symbolic recommendation approach that combines symbolic rule reasoning with graph-based neural inference over a dynamic and time-aware academic Knowledge Graph (KG). The model encodes students, programs, and contextual entities including regions and emerging trends while integrating regulatory constraints derived from Moroccan admission policies. It applies a two-stage reasoning pipeline: a symbolic layer enforcing hard eligibility rules and soft preference-based adjustments mined automatically from the knowledge graph, and a Graph Convolutional Network (GCN) layer trained with a weighted loss to address class imbalance and capture latent student–program compatibility. A weighted score fusion mechanism integrates both inference outputs, achieving a balance between interpretability, adaptability, and predictive performance. Evaluated on a real-world dataset of 800 students and 325 academic programs, NeSy-Guidance outperforms three state-of-the-art baselines in both accuracy and policy compliance. It achieves 83.8% accuracy, 74.5% precision@5, 75.4% F1-score, and ensures 100% compliance with institutional eligibility rules. Furthermore, a qualitative survey confirmed positive student satisfaction regarding the clarity and relevance of recommendations. These results demonstrate the effectiveness of hybrid reasoning and validate NeSy-Guidance as a reliable, explainable, and regulation-aware academic guidance system capable of adapting to regional disparities, emerging academic trends, and evolving student preferences. © 2025, Modern Education and Computer Science Press. All rights reserved.","Academic Recommendation; Graph Convolutional Network (GCN); Knowledge Graph; Neuro-Symbolic Approach; Policy-alignment; Symbolic Rule Reasoning","","Z. Elkaimbillah; IMS Team, ADMIR Laboratory Rabat IT Center, ENSIAS, Mohammed V University in Rabat, Rabat, Morocco; email: zineb_elkaimbillah@um5.ac.ma","","Modern Education and Computer Science Press","20750161","","","","English","Int. J. Mod. Educ. Comput. Sci.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105024890648"
"Wei, Y.","Wei, Yanxiao (56236956800)","56236956800","A digital twin model for grain enterprise financial shared service centers based on distributed deep learning and neural symbolic reasoning","2025","Scientific Reports","15","1","40558","","","0","10.1038/s41598-025-24350-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022225095&doi=10.1038%2Fs41598-025-24350-8&partnerID=40&md5=53638f3cd9b54be929b54cbd57c0a49b","School of Accounting, Guangxi International Business Vocational College, Nanning, Guangxi, China","Wei, Yanxiao, School of Accounting, Guangxi International Business Vocational College, Nanning, Guangxi, China","This paper presents a comprehensive digital twin model for grain enterprise financial shared service centers that integrates distributed deep learning capabilities with neural symbolic reasoning mechanisms to address complex financial management challenges. The proposed model employs a hierarchical architectural framework that combines the pattern recognition strengths of deep neural networks with the interpretability and knowledge representation capabilities of symbolic reasoning systems. The hybrid neural architecture integrates multilayer perceptrons, recurrent neural networks, and convolutional neural networks within a distributed computing framework, while the neural symbolic reasoning engine incorporates knowledge graphs and rule-based inference mechanisms for interpretable decision support. Experimental validation on real-world financial datasets demonstrates superior performance with 94.7% accuracy in financial prediction tasks, representing significant improvements over baseline approaches. Practical deployment across three major grain enterprise financial shared service centers showed substantial operational improvements, including 66.4% reduction in transaction processing time, 130.7% increase in process automation level, and 87.5% decrease in error rates. The economic analysis reveals annual operational cost savings exceeding $8.3 million across participating enterprises, validating the practical viability and transformative potential of the proposed approach in complex financial management environments. © The Author(s) 2025.","Digital twin; Distributed deep learning; Financial shared services; Grain enterprises; Neural symbolic reasoning; Process optimization","adult; article; automation; convolutional neural network; cost control; decision support system; deep learning; deep neural network; diagnosis; digital twin; grain; human; knowledge graph; medical service; multilayer perceptron; pattern recognition; prediction; process optimization; reasoning; recurrent neural network","Y. Wei; School of Accounting, Guangxi International Business Vocational College, Nanning, Guangxi, 530007, China; email: weiyanxiao1@163.com","","Nature Research","","","","41254019","English","Sci. Rep.","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105022225095"
"Wang, S.; Yang, H.; Bai, G.","Wang, Sili (57222074527); Yang, Heng (58139288400); Bai, Guangzu (57835635700)","57222074527; 58139288400; 57835635700","Construction of intelligent decision support systems through integration of retrieval-augmented generation and knowledge graphs","2025","Scientific Reports","15","1","35462","","","0","10.1038/s41598-025-19257-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018398480&doi=10.1038%2Fs41598-025-19257-3&partnerID=40&md5=d7a17ab49b41d8166efff53df6247cb5","Key Laboratory of Ecological Safety and Sustainable Development in Arid Lands, Northwest Institute of Eco-Environment and Resources, Lanzhou, Gansu, China; Key Laboratory of Knowledge Computing and Intelligent Decision, Lanzhou, China","Wang, Sili, Key Laboratory of Ecological Safety and Sustainable Development in Arid Lands, Northwest Institute of Eco-Environment and Resources, Lanzhou, Gansu, China, Key Laboratory of Knowledge Computing and Intelligent Decision, Lanzhou, China; Yang, Heng, Key Laboratory of Ecological Safety and Sustainable Development in Arid Lands, Northwest Institute of Eco-Environment and Resources, Lanzhou, Gansu, China, Key Laboratory of Knowledge Computing and Intelligent Decision, Lanzhou, China; Bai, Guangzu, Key Laboratory of Ecological Safety and Sustainable Development in Arid Lands, Northwest Institute of Eco-Environment and Resources, Lanzhou, Gansu, China, Key Laboratory of Knowledge Computing and Intelligent Decision, Lanzhou, China","This article proposes a novel framework for intelligent decision support systems based on retrieval augmented generation models and knowledge graphs, in order to overcome the shortcomings of current approaches. Systems Like Mistral 7B, LLaMA-2, and others tend to fail at contextual understanding, transparency, and reasoning over many steps involving many domains. Our proposed architecture combines the strengths of generative models, enhanced by external knowledge retrieval, with structured, linked representations of domain knowledge. With this synergy, we show improvement in decision accuracy, reasoning transparency, and context relevance compared to using either technology alone. The structure has a flexible knowledge orchestration layer that optimizes information exchange between structured representations and generative capabilities. Research conducted on three areas, namely, financial services, healthcare management, and the supply chain has shown that our method performs particularly well when it comes to cross-domain reasoning and ambiguous queries. This study deepens our understanding of knowledge-enhancing artificial intelligence systems as well as offers a roadmap for a next-generation decision support system. The framework is designed to tackle some of the most challenging issues faced by enterprises in making decisions. In particular, it draws from both context and expertise to provide explainable recommendations. © The Author(s) 2025.","Enterprise decision-making; Explainable AI; Hybrid AI; Intelligent decision support systems; Knowledge graphs; Neural-symbolic systems; Retrieval-augmented generation; Semantic integration","dermatan sulfate; article; artificial intelligence; decision making; decision support system; explainable artificial intelligence; generative model; health care management; human; information retrieval; knowledge; knowledge graph; llama; reasoning; retrieval augmented generation","S. Wang; Key Laboratory of Ecological Safety and Sustainable Development in Arid Lands, Northwest Institute of Eco-Environment and Resources, Chinese Academy of Sciences, Lanzhou, 730000, China; email: wangsl@llas.ac.cn","","Nature Research","","","","41073437","English","Sci. Rep.","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105018398480"
