id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
115	alzheimer’s disease	0.6674	-0.5448	1	9	10	6	2023.8333
128	anomaly detection	-0.8951	0.8326	3	8	14	5	2023.6
157	artificial intelligence	0.4801	0.1102	1	52	109	49	2023.6939
176	attention mechanism	-0.6524	-0.3038	2	20	35	24	2023.6667
256	bert	0.0737	-0.0704	6	34	68	35	2023.5429
279	big data	0.9194	-0.2615	1	12	14	8	2022.125
284	bim	0.7742	-0.0739	1	12	16	6	2023.5
458	clustering	0.4424	-0.535	1	11	13	6	2022.3333
488	collaborative filtering	-0.7462	0.2253	2	8	14	6	2023.6667
545	computer vision	-0.7898	0.585	9	6	9	5	2022
591	context awareness	-0.521	0.3355	5	5	6	5	2023.4
612	contrastive learning	-0.3327	-0.3248	7	11	15	10	2024.3
625	convolutional neural network	-0.5959	0.0742	9	19	27	20	2023.15
701	cultural heritage	0.6817	0.4851	4	19	21	5	2024
744	data fusion	-0.8931	-0.5063	2	6	8	5	2023.4
747	data harmonization	0.5636	-0.5641	1	18	26	19	2023.5789
749	data integration	0.4389	-0.0784	1	33	57	29	2022.6207
753	data interoperability	0.8104	-0.2872	1	12	13	6	2023.3333
762	data mining	-0.0911	0.5178	3	11	16	8	2023.25
831	deep learning	-0.1668	0.0922	2	68	182	101	2023.4059
840	deep reinforcement learning	-0.9193	-0.4146	2	7	8	6	2024.3333
866	description logics	0.0137	-1.0333	8	7	8	5	2024.2
901	digital humanities	0.7501	0.2495	4	9	11	5	2024.4
913	digital twin	0.1831	-0.5062	1	17	24	9	2024.3333
1024	e-commerce	-0.2168	0.3081	5	12	16	7	2023.2857
1028	e-learning	0.7749	0.4591	4	13	16	5	2022.2
1066	electronic health records	0.6667	-0.7549	1	16	25	12	2023.9167
1076	embedding	0.1327	-0.3208	1	17	27	13	2023.3077
1127	entity alignment	-0.2159	-0.438	7	31	90	51	2023.4314
1133	entity disambiguation	-0.4008	0.2102	9	9	11	7	2022.2857
1138	entity linking	-0.0486	0.2629	9	23	43	21	2022.619
1142	entity recognition	0.1888	-0.0372	6	10	13	6	2023.6667
1144	entity resolution	0.484	-0.4537	1	11	14	5	2021.4
1213	explainable ai	-0.4157	0.4334	3	44	178	83	2023.9639
1270	fault diagnosis	-0.7608	0.7316	3	10	17	7	2024.5714
1277	feature fusion	-0.3688	-0.0546	5	12	18	14	2024.4286
1282	feature selection	0.164	0.9173	3	10	11	5	2023.2
1285	federated learning	-0.4617	-0.0071	2	13	19	7	2024.2857
1298	fhir	0.9886	-0.6886	1	5	12	5	2023.6
1323	first-order logic	-0.9051	0.3359	5	11	21	10	2023.2
1360	fuzzy logic	-1.3649	-0.4934	8	6	9	6	2024.1667
1400	generative ai	0.8821	0.0286	1	13	19	8	2024.75
1460	graph attention network	-0.7897	0.032	2	11	16	10	2023.8
1469	graph convolutional network	-0.3179	-0.4247	7	12	25	17	2023.4706
1473	graph embedding	-0.964	-0.2571	7	11	19	10	2022.9
1486	graph neural networks	-0.3928	-0.2072	2	47	131	64	2023.6094
1532	harmonization	1.034	-0.1923	1	6	8	7	2023.8571
1546	healthcare	0.3695	-0.7759	1	10	11	6	2023.5
1616	hybrid ai	0.3007	0.4339	3	11	12	6	2024.1667
1693	image classification	-0.5912	0.1871	5	8	9	5	2023.6
1752	information extraction	0.3048	0.2767	6	10	14	8	2023.25
1754	information fusion	0.9999	0.5773	4	6	8	5	2021.4
1760	information retrieval	0.5359	0.6798	4	16	22	11	2023
1833	interoperability	0.9691	-0.4543	1	14	27	17	2023
1835	interpretability	-0.7301	0.1006	2	28	50	21	2024.2857
1851	iot	0.638	-0.1595	1	15	21	7	2023.4286
1919	knowledge base	-0.6061	0.4445	9	21	37	18	2022.3889
1937	knowledge distillation	-0.3461	0.1058	5	9	9	5	2023.6
1943	knowledge enhancement	0.3231	-0.9821	1	3	3	5	2024.6
1945	knowledge extraction	0.0279	0.964	9	11	19	8	2023.125
1946	knowledge fusion	-0.1099	-0.4562	7	12	29	12	2023.3333
1948	knowledge graph	-0.1169	-0.0566	7	106	624	321	2023.8972
1951	knowledge graph completion	-0.3025	-0.5894	2	13	21	13	2024.0769
1954	knowledge graph embedding	-0.6492	-0.5467	8	28	46	33	2023.5152
1959	knowledge graph fusion	-0.1938	-0.1924	7	6	7	8	2024.375
1965	knowledge graph reasoning	-0.5138	-0.4255	2	12	13	10	2023.5
1996	knowledge representation	-0.1541	0.7115	3	27	54	21	2023.4286
2001	knowledge tracing	-0.9347	-0.0094	2	7	9	5	2023.8
2027	knowledge-infused learning	-0.7351	-0.9066	8	8	15	5	2022.2
2055	large language models	0.2039	0.3244	6	76	282	176	2024.7045
2127	link prediction	-0.4788	-0.5897	2	22	46	19	2024.2105
2128	linked data	0.5832	0.4278	4	16	21	7	2022.8571
2157	logic tensor networks	-0.887	0.4697	5	5	11	8	2023.5
2162	logical reasoning	-0.4163	0.8094	3	10	15	6	2024.5
2181	lstm	-0.2184	0.4275	5	13	13	8	2022.5
2185	machine learning	0.1623	0.0422	3	54	127	59	2023.7288
2191	machine translation	-0.0191	0.616	5	8	9	9	2024
2355	multi-agent systems	0.471	-0.2631	1	18	27	11	2023.7273
2423	multi-task learning	0.0083	-0.3724	6	6	6	7	2022.8571
2453	multimodal	0.0374	-0.7875	1	18	24	14	2023.7143
2464	multimodal fusion	-0.1506	-0.7175	2	10	13	11	2024.3636
2472	multimodal knowledge graph	-0.2736	-0.7109	2	9	10	11	2024
2474	multimodal learning	-0.7747	-0.4974	2	8	9	5	2024.2
2505	named entity recognition	0.1331	0.6325	6	9	14	10	2023.9
2513	natural language processing	0.3175	0.1668	6	53	126	67	2024.0149
2545	neural network	-0.9567	0.6873	3	9	17	10	2023.5
2549	neural networks	0.1562	0.2023	3	27	45	23	2023.2609
2565	neuro-symbolic ai	-0.599	-0.0783	8	66	364	178	2023.6854
2654	ontological reasoning	0.5538	1.4222	10	4	9	6	2023.5
2655	ontology	0.3043	0.0148	1	75	237	113	2023.0442
2656	ontology alignment	0.5186	0.0035	4	27	46	29	2023.0345
2666	ontology construction	1.1178	0.1997	4	2	2	5	2024
2672	ontology engineering	-0.1247	0.4115	5	16	19	10	2023.3
2681	ontology mapping	0.9601	0.1404	4	19	28	11	2023.7273
2682	ontology matching	0.413	0.1798	4	35	57	43	2022.814
2799	personalized recommendation	-0.4706	-0.3242	7	5	7	5	2023.4
2862	pre-trained language model	0.403	-0.9383	1	8	8	8	2023.375
2872	prediction	0.1741	1.0269	3	6	7	6	2023.5
2928	prompt engineering	0.3078	-0.1464	6	8	14	7	2024.8571
2981	question answering	-0.0129	0.7328	9	18	38	14	2023.7857
3010	rdf	0.8424	-0.3522	1	13	15	7	2024
3029	reasoning	-0.0973	0.9401	3	12	20	10	2024
3033	recommendation	-0.3474	0.4928	5	8	10	5	2022.4
3040	recommender systems	-0.7268	-0.1048	2	31	79	32	2023.625
3058	reinforcement learning	-0.4969	0.09	7	16	25	15	2024.2
3065	relation extraction	0.1631	0.4335	6	15	27	10	2023.2
3076	relational learning	-1.3043	-0.3511	8	7	13	7	2022.1429
3095	representation learning	-0.3777	-0.4683	7	26	48	22	2023.5455
3121	retrieval-augmented generation	0.397	0.348	6	25	77	44	2024.8864
3178	scene understanding	-0.5871	-1.0133	8	6	14	6	2022.5
3184	schema matching	0.3338	-0.5448	1	27	39	23	2022.7826
3225	semantic analysis	-0.191	0.5212	5	12	12	6	2023.6667
3227	semantic annotation	0.6277	0.197	4	11	11	5	2024
3244	semantic enrichment	0.7034	-0.6335	1	11	14	8	2023.75
3256	semantic integration	0.7495	0.0039	1	16	30	19	2022.5263
3258	semantic interoperability	0.8095	-0.1989	1	21	27	11	2022.9091
3267	semantic matching	-0.0353	-0.0048	7	19	25	23	2023.0435
3279	semantic reasoning	-0.553	0.6838	3	7	8	5	2024.8
3284	semantic retrieval	0.3402	0.9009	6	6	8	5	2024.8
3287	semantic search	0.7307	-0.4382	1	10	11	6	2024.1667
3290	semantic similarity	0.3036	-0.3495	6	18	25	17	2023.1176
3301	semantic web	0.3178	0.6306	4	35	75	33	2022.7576
3306	semantics	0.826	0.1061	1	6	7	5	2023
3319	sentence embeddings	0.7232	-0.3321	1	8	9	5	2025
3323	sentiment analysis	-0.2104	0.6329	5	10	13	5	2023.8
3517	symbolic ai	-1.0394	0.2434	3	15	26	7	2024
3526	symbolic reasoning	-0.8531	-0.1966	7	11	21	7	2024.2857
3609	text classification	0.5135	-0.8472	1	6	6	5	2023
3673	transfer learning	-0.0486	-1.0633	8	5	6	6	2023.3333
3678	transformer	-0.2703	-0.09	2	30	53	31	2024.0968
