term,occurrences
knowledge graph,228
deep learning,90
ontology,87
knowledge graphs,85
large language models,71
machine learning,59
natural language processing,54
large language model,52
neuro-symbolic ai,52
entity alignment,51
explainable ai,43
ontology matching,39
artificial intelligence,38
bert,32
data integration,29
semantic web,28
ontology alignment,27
graph neural networks,27
graph neural network,27
ontologies,26
attention mechanism,24
retrieval-augmented generation,24
knowledge graph embedding,24
schema matching,23
neural networks,23
semantic matching,23
representation learning,22
neurosymbolic ai,22
interpretability,21
entity linking,21
semantic integration,19
knowledge representation,19
link prediction,19
knowledge base,18
interoperability,17
semantic similarity,17
llm,17
large language models (llms),16
data harmonization,16
transformer,16
recommender systems,15
reinforcement learning,15
feature fusion,14
neuro-symbolic,14
knowledge graph completion,13
explainable artificial intelligence,12
ai,12
knowledge fusion,12
semantic interoperability,11
ontology mapping,11
convolutional neural network,11
information retrieval,11
xai,11
ontology engineering,10
contrastive learning,10
reasoning,10
first-order logic,10
neuro-symbolic integration,10
explainability,10
neural network,10
knowledge graph reasoning,10
question answering,10
relation extraction,10
language models,9
machine translation,9
embeddings,9
explainable ai (xai),9
big data,8
information extraction,8
semantic enrichment,8
data mining,8
knowledge graph fusion,8
multi-agent systems,8
knowledge extraction,8
retrieval-augmented generation (rag),8
logic tensor networks,8
named entity recognition,8
graph attention network,8
multimodal knowledge graph,7
iot,7
harmonization,7
linked data,7
prompt engineering,7
rdf,7
entity disambiguation,7
nlp,7
graph embedding,7
multi-task learning,7
deep neural networks,7
neural-symbolic integration,7
neurosymbolic,7
knowledge graph embeddings,7
neuro-symbolic reasoning,7
symbolic reasoning,7
symbolic ai,7
fault diagnosis,7
relational learning,7
recommender system,7
federated learning,7
recommendation system,7
transformer models,6
clustering,6
semantic search,6
natural language processing (nlp),6
alzheimer’s disease,6
unsupervised learning,6
retrieval augmented generation,6
healthcare,6
multimodal,6
fuzzy logic,6
data interoperability,6
large language model (llm),6
deep reinforcement learning,6
semantic analysis,6
electronic health records,6
transfer learning,6
word embedding,6
ontological reasoning,6
neuro-symbolic learning,6
logical reasoning,6
neuro-symbolic artificial intelligence,6
digital twin,6
scene understanding,6
trustworthy ai,6
multi-modal,6
entity recognition,6
prediction,6
collaborative filtering,6
multi-modal fusion,6
digital humanities,5
semantic annotation,5
ontology construction,5
image classification,5
fhir,5
generative ai,5
sentence embeddings,5
semantics,5
cultural heritage,5
multimodal fusion,5
uncertainty,5
semantic reasoning,5
transformers,5
e-learning,5
knowledge distillation,5
recommendation,5
sentiment analysis,5
wordnet,5
computer vision,5
entity resolution,5
feature selection,5
neural symbolic reasoning,5
llms,5
neurosymbolic integration,5
visual reasoning,5
anomaly detection,5
graph neural networks (gnns),5
knowledge-infused learning,5
neural-symbolic,5
semantic retrieval,5
knowledge tracing,5
knowledge enhancement,5
text classification,5
information fusion,5
personalized recommendation,5
data fusion,5
optimal transport,4
bim,4
semantic,4
electronic health record,4
semantic data integration,4
database,4
wikidata,4
